,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,jcl.csv,gmerlin.csv,wxstudio.csv
chipster.csv,0.34,0.61,0.66,0.32,0.96,0.98,0.0,0.71,0.33,1.0,0.64,0.5,0.35
fontforge.csv,0.29,0.65,0.34,0.28,0.97,0.41,0.0,0.96,0.44,0.59,0.57,0.16,0.22
gmerlin.csv,0.44,0.74,0.28,0.36,0.32,0.45,1.0,0.75,0.33,0.56,1.0,0.94,0.24
hatari.csv,0.66,0.68,0.97,0.52,0.3,0.44,1.0,0.38,0.78,0.82,0.71,0.31,0.49
jcl.csv,0.1,0.1,0.24,0.2,0.09,0.11,0.0,0.08,0.0,0.31,0.86,0.19,0.24
ltp.csv,0.1,0.35,0.14,0.32,0.98,0.15,1.0,0.04,0.28,0.05,0.0,0.03,0.03
net-snmp.csv,1.0,0.45,0.34,0.48,0.3,0.45,1.0,0.38,0.39,0.49,0.29,0.69,0.43
opde.csv,0.27,0.42,0.24,0.92,0.51,0.39,0.0,0.42,0.28,0.08,0.64,0.16,0.35
powerfolder-.csv,0.17,0.94,0.03,0.16,0.07,0.14,0.0,0.25,0.22,0.15,0.71,0.03,0.14
qlc.csv,0.07,0.06,0.0,0.04,0.0,0.0,0.0,0.0,0.83,0.03,0.0,0.12,0.3
tcl.csv,0.56,0.45,0.31,0.4,0.22,0.35,1.0,0.33,0.39,0.97,0.64,0.34,0.68
wxstudio.csv,0.22,0.26,0.21,0.44,0.0,0.29,0.0,0.17,0.39,0.1,0.29,0.31,0.97
