,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,jcl.csv,gmerlin.csv,wxstudio.csv
chipster.csv,0.45,0.45,0.86,0.38,0.98,0.01,0.27,0.77,0.45,0.98,0.47,0.61,0.53
fontforge.csv,0.31,0.43,0.19,0.09,0.94,0.29,0.25,0.0,0.31,0.38,0.32,0.12,0.29
gmerlin.csv,0.37,0.46,0.11,0.36,0.39,0.46,0.33,0.61,0.28,0.38,0.83,0.0,0.22
hatari.csv,0.41,0.36,0.0,0.51,0.29,0.36,0.35,0.39,0.53,0.8,0.48,0.24,0.35
jcl.csv,0.0,0.09,0.31,0.09,0.03,0.2,0.29,0.0,0.03,0.22,0.0,0.08,0.22
ltp.csv,0.1,0.45,0.08,0.07,0.04,0.04,0.13,0.03,0.1,0.05,0.01,0.09,0.14
net-snmp.csv,0.02,0.3,0.22,0.49,0.34,0.28,0.42,0.29,0.35,0.38,0.52,0.44,0.29
opde.csv,0.12,0.42,0.14,0.0,0.3,0.38,0.19,0.29,0.33,0.1,0.46,0.12,0.35
powerfolder-.csv,0.0,0.0,0.06,0.11,0.11,0.21,0.02,0.19,0.12,0.18,0.59,0.02,0.33
qlc.csv,0.0,0.03,0.0,0.09,0.0,0.03,0.0,0.0,0.0,0.1,0.03,0.12,0.18
tcl.csv,0.43,0.53,0.39,0.44,0.39,0.35,0.4,0.52,0.43,0.0,0.42,0.35,0.39
wxstudio.csv,0.22,0.43,0.06,0.49,0.02,0.42,0.46,0.32,0.38,0.05,0.19,0.36,0.02
