,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv,natpad.csv
ikvm.csv,0.33,1.0,0.56,0.13,0.2,0.44,0.26,0.14,0.13,0.3,0.19
libtorrent.csv,0.75,0.77,0.93,0.8,0.89,0.99,0.8,0.93,0.87,0.93,0.84
mcmc-jags.csv,0.61,0.59,0.33,1.0,0.62,0.49,0.76,0.61,0.6,0.85,0.72
natpad.csv,0.34,0.73,0.67,0.73,0.62,0.46,0.63,0.75,0.47,0.87,0.98
nebuladevice.csv,0.23,0.09,0.19,0.2,0.12,0.25,0.13,0.0,0.93,0.06,0.16
olap-navigator.csv,0.97,0.45,0.89,0.6,0.69,0.58,0.78,0.71,0.4,0.89,0.63
pidgin.csv,0.38,0.73,0.81,0.53,0.99,0.57,0.63,0.68,0.73,0.73,0.74
salasaga.csv,0.82,0.86,0.52,1.0,0.63,0.85,0.65,0.79,0.87,0.79,0.67
sepgsql.csv,0.25,0.59,0.85,0.27,0.25,0.41,0.2,0.21,0.4,0.06,0.23
xstore.csv,0.51,0.45,0.74,0.53,0.63,0.41,0.93,0.5,0.4,0.87,0.86
xtreemfs.csv,0.62,0.5,0.81,0.4,0.58,0.54,0.83,0.5,0.33,0.99,0.67
