,barracudamvc.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,mycila.csv,jppf-project.csv,cascading.csv,ontopia.csv,mevenide.csv
alembik.csv,0.26,0.0,0.8,0.4,0.2,0.4,0.12,0.19,0.21,0.14,0.12
arsenal-1.csv,0.2,0.65,0.17,0.26,0.0,0.46,0.23,0.0,0.2,0.2,0.6
barracudamvc.csv,0.74,0.13,0.0,0.0,0.0,0.16,0.36,0.38,0.39,0.64,0.35
cascading.csv,0.27,0.6,0.4,0.6,0.5,0.42,0.53,0.32,0.69,0.44,0.5
emisview.csv,0.34,0.6,0.76,0.73,0.24,0.52,0.23,0.41,0.25,0.11,0.28
jitterbit.csv,0.48,0.0,0.7,0.47,0.38,0.72,0.3,0.36,0.4,0.33,0.71
jppf-project.csv,0.47,0.13,0.35,0.31,0.56,0.44,0.45,0.73,0.5,0.34,0.66
mevenide.csv,0.41,0.13,0.11,0.05,0.02,0.38,0.12,0.4,0.18,0.19,0.72
mycila.csv,0.48,0.34,0.21,0.32,0.39,0.29,0.71,0.6,0.58,0.64,0.32
ontopia.csv,0.23,0.41,0.49,0.53,0.44,0.22,0.6,0.5,0.12,0.8,0.17
trackit.csv,0.09,0.0,0.47,0.3,0.62,0.38,0.23,0.05,0.01,0.28,0.04
