,barracudamvc.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,mycila.csv,jppf-project.csv,cascading.csv,ontopia.csv,mevenide.csv
alembik.csv,0.22,0.0,0.82,0.35,0.17,0.35,0.1,0.16,0.18,0.12,0.1
arsenal-1.csv,0.83,0.63,0.14,0.22,0.0,0.42,0.2,0.73,0.17,0.17,0.76
barracudamvc.csv,0.75,0.93,0.91,0.96,1.0,0.71,1.0,0.8,0.89,0.92,0.38
cascading.csv,0.23,0.63,0.36,0.74,0.49,0.38,0.5,0.28,0.72,0.43,0.48
emisview.csv,0.3,0.59,0.82,0.74,0.2,0.48,0.2,0.48,0.21,0.09,0.24
jitterbit.csv,0.63,1.0,0.77,0.48,0.34,0.7,0.6,0.32,0.36,0.3,0.79
jppf-project.csv,0.46,0.93,0.32,0.3,0.63,0.51,0.5,0.73,0.51,0.3,0.69
mevenide.csv,0.71,0.11,0.09,0.04,0.02,0.33,0.1,0.36,0.15,0.16,0.69
mycila.csv,0.63,0.85,0.18,0.52,0.59,0.27,0.7,0.71,0.64,0.79,0.31
ontopia.csv,0.2,0.37,0.5,0.57,0.46,0.19,0.6,0.54,0.1,0.8,0.14
trackit.csv,0.07,0.0,0.45,0.26,0.63,0.34,0.2,0.04,0.01,0.24,0.03
