,barracudamvc.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,mycila.csv,jppf-project.csv,cascading.csv,ontopia.csv,mevenide.csv
alembik.csv,0.36,0.0,0.73,0.47,0.27,0.48,0.12,0.28,0.3,0.2,0.18
arsenal-1.csv,0.82,0.67,0.21,0.28,0.0,0.43,0.17,0.8,0.28,0.28,0.4
barracudamvc.csv,0.83,0.61,0.55,0.45,0.78,0.33,0.34,0.86,0.83,0.9,0.21
cascading.csv,0.36,0.58,0.44,0.45,0.56,0.39,0.36,0.44,0.78,0.57,0.35
emisview.csv,0.46,0.59,0.68,0.61,0.32,0.46,0.15,0.62,0.33,0.16,0.32
jitterbit.csv,0.71,0.64,0.63,0.35,0.47,0.62,0.22,0.47,0.5,0.43,0.48
jppf-project.csv,0.59,0.61,0.32,0.22,0.64,0.3,0.23,0.83,0.62,0.45,0.45
mevenide.csv,0.76,0.17,0.15,0.08,0.05,0.4,0.14,0.52,0.26,0.26,0.66
mycila.csv,0.71,0.59,0.2,0.3,0.57,0.19,0.52,0.8,0.71,0.83,0.2
ontopia.csv,0.32,0.43,0.44,0.39,0.51,0.2,0.37,0.68,0.18,0.87,0.2
trackit.csv,0.12,0.0,0.43,0.31,0.68,0.33,0.13,0.08,0.02,0.38,0.07
