,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,miranda-icq.csv,roolo.csv,freewrl.csv,aten.csv,papertoolkit.csv,ofbiz.csv,ibatisdb.csv,soar.csv,geotools.csv,web-cat.csv,fulguro.csv
cleartk.csv,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,0.0,3.0,0.0,43.0,2.0,29.0,0.0,11.0,4.0,0.0
encog-cs.csv,71.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,4.0,0.0,23.0,1.0,14.0,0.0,24.0,1.0,1.0
extprosys.csv,59.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,2.0,0.0,3.0,0.0,17.0,8.0,8.0,1.0,21.0,1.0,5.0
freewrl.csv,74.0,0.0,2.0,0.0,1.0,5.0,0.0,0.0,1.0,4.0,4.0,1.0,0.0,7.0,0.0,20.0,1.0,0.0,1.0,2.0
fulguro.csv,63.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,13.0,201.0,0.0,2.0,0.0,21.0,1.0,39.0,0.0,10.0,2.0,4.0
geotools.csv,104.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,3.0,4.0,1.0,0.0,62.0,1.0,3.0,0.0,0.0,2.0,0.0
ibatisdb.csv,104.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,2.0,6.0,1.0,0.0,0.0,3.0,1.0,0.0,6.0,4.0,89.0
intact.csv,104.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,8.0,0.0,19.0,3.0,8.0,0.0,2.0
japano.csv,104.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,11.0,2.0,0.0,4.0,0.0,20.0,2.0,17.0,0.0,34.0,1.0,1.0
miranda-icq.csv,104.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,6.0,1.0,4.0,0.0,5.0,2.0,9.0,6.0,4.0,3.0,1.0
ofbiz.csv,104.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,6.0,18.0,55.0,5.0,0.0,3.0
opennms.csv,41.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,20.0,3.0,3.0,0.0,14.0,49.0,5.0
papertoolkit.csv,104.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0,1.0,2.0,4.0,0.0,11.0,1.0,2.0
rohxel.csv,39.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,62.0,0.0,19.0,2.0,14.0,49.0,1.0
roolo.csv,104.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,15.0,14.0,0.0,3.0,0.0,18.0,9.0,39.0,0.0,34.0,1.0,7.0
sevenupdate.csv,81.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,16.0,4.0,0.0,4.0,0.0,21.0,2.0,17.0,0.0,35.0,1.0,1.0
soar.csv,44.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,15.0,4.0,0.0,3.0,0.0,20.0,2.0,16.0,0.0,29.0,4.0,2.0
web-cat.csv,104.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,14.0,2.0,0.0,4.0,0.0,15.0,2.0,17.0,0.0,16.0,0.0,2.0
