,recall,precision,pf,pci_20,ifa,wins
abbot.csv,0.88,0.41,0.78,0.41,2.0,166
acdk.csv,0.33,0.57,0.15,0.6,1.0,605
adaptagrams.csv,0.32,0.5,0.18,0.64,1.0,577
adobe-source.csv,0.49,0.39,0.43,0.55,2.0,253
adonthell.csv,0.52,0.39,0.47,0.51,2.0,197
agilitybook.csv,0.41,0.45,0.32,0.61,1.0,479
aime.csv,0.21,0.37,0.21,0.81,3.0,461
alembik.csv,0.21,0.56,0.1,0.71,1.0,608
algebsql.csv,0.38,0.34,0.5,0.76,2.0,221
all-plasm.csv,0.33,0.45,0.26,0.75,2.0,565
alpine.csv,0.74,0.42,0.61,0.43,2.0,240
amanda.csv,0.59,0.46,0.46,0.52,2.0,434
amateur-scrolls.csv,0.26,0.4,0.18,0.73,2.0,498
ambulant.csv,0.58,0.4,0.55,0.56,2.0,247
amygdala.csv,0.4,0.4,0.34,0.62,1.0,379
apertium.csv,0.19,0.4,0.14,0.58,2.0,291
apolloplayer.csv,0.58,0.41,0.47,0.5,2.0,279
applet2app.csv,0.57,0.5,0.35,0.46,1.0,509
arcallians.csv,0.7,0.43,0.58,0.48,2.0,308
archive-crawler.csv,0.34,0.5,0.21,0.72,1.0,596
ardour.csv,0.46,0.54,0.27,0.48,1.0,551
arianne.csv,0.95,0.39,0.93,0.41,2.0,65
arm-webradio.csv,0.39,0.4,0.38,0.62,2.0,297
array4j.csv,0.29,0.34,0.32,0.65,3.0,172
arsenal-1.csv,0.09,0.42,0.07,0.8,2.0,538
atlc.csv,0.65,0.39,0.62,0.52,2.0,183
atomsite.csv,0.72,0.44,0.56,0.4,2.0,267
atunes.csv,0.67,0.43,0.52,0.43,2.0,274
auber.csv,0.78,0.42,0.67,0.45,2.0,244
aubit4gl.csv,0.16,0.38,0.16,0.82,2.0,490
aufs.csv,0.4,0.38,0.35,0.64,2.0,340
autat.csv,0.39,0.48,0.24,0.61,1.0,555
autofac.csv,0.61,0.45,0.46,0.43,1.0,329
autoopencas.csv,0.27,0.29,0.4,0.8,3.0,155
autowikibrowser.csv,0.65,0.47,0.45,0.36,1.0,342
avifile.csv,0.45,0.36,0.52,0.67,2.0,204
avisynth2.csv,0.02,0.26,0.02,0.67,3.0,100
awemud.csv,0.56,0.5,0.34,0.44,1.0,497
aztec.csv,0.4,0.5,0.24,0.59,1.0,569
baadengine.csv,0.96,0.41,0.9,0.38,2.0,99
bacula.csv,0.65,0.45,0.49,0.5,2.0,425
badtrinity-zero.csv,0.45,0.46,0.33,0.57,2.0,467
badtrinitycore.csv,0.3,0.44,0.21,0.61,2.0,457
barracudamvc.csv,0.93,0.37,0.97,0.42,2.0,20
bdbbasic.csv,0.45,0.39,0.38,0.5,2.0,206
beast-mcmc.csv,0.7,0.46,0.51,0.44,1.0,413
benojt.csv,1.0,0.38,1.0,0.39,2.0,23
betoffice.csv,0.71,0.34,0.83,0.51,2.0,17
bibletime.csv,0.68,0.43,0.5,0.41,2.0,282
bigdata.csv,0.52,0.41,0.42,0.52,2.0,292
biodwh.csv,0.27,0.52,0.14,0.69,1.0,595
bionote.csv,0.38,0.51,0.22,0.57,1.0,566
biopax.csv,0.98,0.4,0.94,0.4,2.0,84
bl-toolkit.csv,0.71,0.38,0.73,0.46,2.0,64
blogentis.csv,0.48,0.38,0.52,0.59,2.0,173
bloodycore.csv,0.14,0.38,0.13,0.85,2.0,519
blue-c.csv,0.76,0.43,0.63,0.48,2.0,318
bochs.csv,0.73,0.38,0.64,0.45,2.0,148
boost-sandbox.csv,0.47,0.36,0.52,0.58,2.0,125
boost.csv,0.63,0.48,0.42,0.47,1.0,491
brlcad.csv,0.29,0.46,0.19,0.71,2.0,567
bscwweasel.csv,0.31,0.44,0.22,0.71,2.0,541
buddata-ebxml-registry.csv,0.97,0.39,0.94,0.39,2.0,51
bullet.csv,0.54,0.38,0.55,0.51,2.0,121
bwapi.csv,0.97,0.39,0.97,0.41,2.0,49
bzbyte.csv,0.43,0.17,0.44,0.37,11.0,8
capcode.csv,0.55,0.38,0.54,0.59,2.0,230
carabiner.csv,0.65,0.46,0.47,0.38,1.0,317
cascading.csv,0.71,0.44,0.52,0.43,2.0,353
chaosrts.csv,0.62,0.42,0.51,0.49,2.0,285
checker-framework.csv,0.83,0.4,0.76,0.43,2.0,143
chipster.csv,0.17,0.36,0.16,0.68,3.0,284
chrysalis.csv,0.6,0.48,0.39,0.43,1.0,455
cities3d.csv,0.33,0.42,0.23,0.59,2.0,410
cleartk.csv,0.78,0.4,0.74,0.46,2.0,145
cme.csv,0.0,0.0,0.01,0.0,59.0,4
co-ode-owl-plugins.csv,0.58,0.41,0.5,0.54,2.0,295
codeblocks.csv,0.47,0.49,0.3,0.49,1.0,487
codepurge.csv,0.5,0.45,0.38,0.48,2.0,354
codesmith.csv,0.66,0.38,0.68,0.51,2.0,111
columba.csv,0.6,0.48,0.41,0.39,1.0,391
continuum-ide.csv,0.21,0.43,0.17,0.8,2.0,560
