,xbrlapi.csv,codeblocks.csv,fw4spl.csv,emulemorph.csv,ipfire-wall.csv,libmesh.csv,soar.csv,gnome-jabber.csv,ipfilter.csv,tencompetence.csv,fulguro.csv,rockbox.csv
codeblocks.csv,0.64,0.78,0.77,0.83,0.89,0.85,0.1,0.1,0.0,0.15,0.82,1.0
emulemorph.csv,0.07,0.02,0.0,0.67,0.0,0.04,0.03,0.12,0.07,0.09,0.0,0.11
fulguro.csv,0.98,0.14,0.6,0.0,0.44,0.35,0.68,0.84,0.2,0.37,0.45,0.84
fw4spl.csv,0.26,0.42,0.52,0.0,0.61,0.23,0.42,0.04,0.7,0.11,0.55,0.53
gnome-jabber.csv,0.55,0.78,0.67,1.0,0.72,0.35,0.77,0.58,0.74,0.49,0.36,0.84
ipfilter.csv,0.81,0.66,0.58,1.0,0.61,0.92,0.74,0.98,0.98,0.93,0.91,0.63
ipfire-wall.csv,0.36,0.25,0.29,0.17,0.67,0.23,0.77,0.13,0.52,0.48,0.36,0.58
libmesh.csv,0.21,0.05,0.5,0.17,0.33,0.5,0.45,0.0,0.0,0.2,0.36,0.32
rockbox.csv,0.12,0.26,0.73,0.0,0.44,0.12,0.74,0.23,0.0,0.02,0.64,0.79
soar.csv,0.88,1.0,0.96,1.0,1.0,1.0,0.65,1.0,1.0,0.91,1.0,1.0
tencompetence.csv,0.4,0.05,0.1,0.5,0.44,0.77,0.65,0.4,0.11,0.82,0.45,0.0
xbrlapi.csv,0.71,0.09,0.4,0.83,0.44,0.27,0.87,0.0,0.26,0.27,0.64,0.42
