,xbrlapi.csv,codeblocks.csv,fw4spl.csv,emulemorph.csv,ipfire-wall.csv,libmesh.csv,soar.csv,gnome-jabber.csv,ipfilter.csv,tencompetence.csv,fulguro.csv,rockbox.csv
codeblocks.csv,95.5,96.5,1963.5,2108.0,97.5,95.5,97.5,69.5,0.0,184.0,1628.5,96.5
emulemorph.csv,98.5,43.5,0.0,710.5,94.5,61.5,40.5,97.5,96.5,89.5,541.0,57.5
fulguro.csv,197.5,96.5,4044.0,0.0,97.5,95.5,97.5,390.0,96.5,99.0,599.5,96.5
fw4spl.csv,262.5,98.5,836.0,1112.5,184.0,173.0,97.5,84.5,92.5,87.5,432.5,93.5
gnome-jabber.csv,98.5,98.5,3063.5,1865.0,275.5,193.0,97.5,196.0,96.5,98.5,665.0,96.5
ipfilter.csv,197.5,98.5,3488.0,2982.5,97.5,95.5,97.5,294.5,197.5,99.0,1216.0,96.5
ipfire-wall.csv,197.5,98.5,965.5,2263.0,277.5,193.0,97.5,90.5,96.5,99.0,79.5,96.5
libmesh.csv,95.5,86.5,2279.0,832.0,97.5,193.0,96.5,0.0,0.0,291.5,695.0,91.5
rockbox.csv,172.0,96.5,1971.0,212.0,84.5,184.0,97.5,95.5,35.0,137.0,603.5,96.5
soar.csv,197.5,98.5,3823.5,3252.5,97.5,193.0,99.0,294.5,197.5,99.0,1628.5,96.5
tencompetence.csv,197.5,86.5,1635.0,2584.5,97.5,95.5,97.5,290.5,92.5,99.0,344.0,221.0
xbrlapi.csv,97.5,98.5,1494.0,1599.0,275.5,95.5,97.5,0.0,96.5,99.0,514.0,96.5
