,xbrlapi.csv,codeblocks.csv,fw4spl.csv,emulemorph.csv,ipfire-wall.csv,libmesh.csv,soar.csv,gnome-jabber.csv,ipfilter.csv,tencompetence.csv,fulguro.csv,rockbox.csv
codeblocks.csv,0.74,0.54,0.59,0.75,0.9,0.61,0.9,0.9,1.0,0.9,0.98,0.59
emulemorph.csv,0.93,0.98,1.0,0.43,1.0,0.96,0.97,0.88,0.93,0.91,1.01,0.89
fulguro.csv,0.9,0.9,0.77,1.0,0.63,0.82,0.68,1.01,0.8,0.69,0.63,0.61
fw4spl.csv,0.78,0.64,0.54,1.02,0.64,0.83,0.92,0.96,0.75,0.92,0.71,0.69
gnome-jabber.csv,0.71,0.63,0.55,0.6,0.83,0.89,0.64,0.47,0.83,0.77,0.81,0.67
ipfilter.csv,0.73,0.91,0.85,0.93,0.6,0.83,0.65,1.0,0.06,0.83,0.75,0.84
ipfire-wall.csv,0.73,0.76,0.73,0.92,0.41,0.84,0.99,0.87,0.52,0.7,0.68,0.52
libmesh.csv,0.79,0.96,0.75,0.88,0.79,0.65,0.63,1.0,1.0,0.87,0.79,0.93
rockbox.csv,0.9,0.75,0.5,1.0,0.72,0.94,0.92,0.77,1.02,1.03,0.67,0.4
soar.csv,0.91,1.0,0.95,1.0,1.0,1.0,0.45,1.0,0.95,0.9,1.0,1.0
tencompetence.csv,0.65,0.96,0.98,0.72,0.57,0.73,0.66,0.85,0.89,0.34,0.58,1.02
xbrlapi.csv,0.51,0.91,0.65,0.47,0.59,0.82,0.89,1.0,0.74,0.79,0.5,0.58
