,elmo.csv,xbplayer.csv,decidr.csv,tolven.csv,mscore.csv
decidr.csv,0.07,0.31,0.81,0.43,0.59
elmo.csv,0.14,0.52,0.61,0.42,0.76
mscore.csv,0.08,0.4,0.67,0.36,0.8
tolven.csv,0.06,0.5,0.73,0.56,0.79
xbplayer.csv,0.0,0.53,0.76,0.43,0.75
