,array4j.csv,mule.csv,sblim.csv,piccolo2d.csv,jbpm.csv,calcubetimer.csv,jgossipforum.csv,joustsim.csv,madman.csv,bigdata.csv,jas.csv,nunit.csv
array4j.csv,0.06,0.84,0.91,0.48,0.94,0.71,1.01,0.64,0.78,0.78,0.63,0.88
bigdata.csv,0.94,0.92,0.78,0.61,0.97,0.66,0.98,0.73,0.55,0.03,1.01,0.53
calcubetimer.csv,0.57,0.79,0.98,0.84,0.73,0.0,0.68,0.59,0.92,0.85,0.59,0.84
jas.csv,0.94,0.95,0.95,0.92,0.98,0.98,0.6,1.0,0.88,0.95,0.0,0.93
jbpm.csv,0.94,0.97,0.67,0.96,0.04,0.96,1.01,1.0,0.83,0.84,0.88,0.79
jgossipforum.csv,1.0,0.97,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
joustsim.csv,0.97,0.69,0.88,0.93,0.7,0.79,0.25,0.0,0.77,0.71,0.5,0.68
madman.csv,0.75,0.79,0.6,0.93,0.91,0.91,0.8,0.82,0.02,0.92,0.88,0.75
mule.csv,0.95,0.03,0.81,0.42,0.82,0.79,0.81,0.49,0.66,0.62,0.76,0.7
nunit.csv,0.83,0.73,0.92,0.76,0.8,0.57,1.01,0.85,0.97,0.7,0.43,0.08
piccolo2d.csv,0.69,0.97,0.95,0.15,0.7,1.0,1.0,1.03,1.0,0.93,0.78,0.98
sblim.csv,1.01,0.99,0.0,1.0,0.9,0.89,1.0,0.91,1.0,0.99,1.0,0.88
