,kaffeine.csv,alembik.csv,co-ode-owl-plugins.csv,jmonkeyengine.csv,onotoa.csv,e-bio-flow.csv,ogrehg.csv,jaxlib.csv,chaperon.csv,nodal.csv,xpontus.csv,aten.csv,papertoolkit.csv,free-evolution.csv,jmule.csv
alembik.csv,0.94,0.0,0.84,0.63,0.91,0.62,0.93,1.08,1.0,0.8,0.23,0.97,0.68,0.94,0.88
chaperon.csv,0.76,0.69,0.99,0.83,0.91,0.95,0.79,1.0,0.0,0.74,1.02,0.82,0.68,0.93,0.79
co-ode-owl-plugins.csv,0.72,0.55,0.06,0.81,0.71,1.0,0.93,1.0,1.09,0.68,0.91,1.03,0.69,0.64,1.0
e-bio-flow.csv,0.8,0.59,0.95,0.67,0.91,0.0,0.66,0.59,1.05,0.86,0.48,0.94,0.68,0.82,0.79
free-evolution.csv,0.76,0.52,0.93,0.54,0.7,0.65,0.67,1.01,0.76,0.91,0.49,0.72,1.04,0.06,0.64
jaxlib.csv,0.94,0.91,1.0,1.0,0.9,0.97,0.93,0.0,1.0,0.96,1.0,0.91,1.0,0.85,1.0
jmonkeyengine.csv,0.26,0.72,0.94,0.0,0.74,0.68,0.77,0.61,0.81,0.69,1.04,1.01,0.72,0.78,0.96
jmule.csv,0.62,0.62,0.67,0.61,0.85,0.59,0.63,0.94,1.03,0.74,0.47,0.45,0.55,0.71,0.04
kaffeine.csv,0.09,0.94,0.88,0.85,0.84,0.89,0.96,1.0,0.79,0.78,0.76,1.0,0.67,0.96,1.0
nodal.csv,0.54,0.7,0.59,0.41,0.65,0.76,0.71,1.26,1.01,0.0,1.02,0.78,1.01,0.69,0.52
ogrehg.csv,0.68,0.68,1.05,0.58,0.8,0.63,0.06,0.72,0.97,0.87,0.4,0.53,0.82,0.78,0.85
onotoa.csv,0.37,0.9,0.89,0.8,0.0,0.66,0.86,0.65,0.89,0.66,0.55,0.32,0.78,0.89,0.96
papertoolkit.csv,0.96,1.0,1.0,1.0,0.99,1.0,0.99,1.0,1.0,1.0,1.0,0.99,0.0,1.0,0.92
