,x4x.csv,graphmak.csv,rectracker.csv,pdfedit.csv,wxlua.csv,jruby.csv
graphmak.csv,1.0,1.0,0.83,0.67,1.0,0.77
jruby.csv,0.83,0.37,0.65,0.64,0.75,0.99
pdfedit.csv,0.89,0.28,0.71,1.0,0.95,0.86
rectracker.csv,0.82,0.36,1.0,0.53,0.94,0.88
wxlua.csv,0.74,0.33,0.74,0.53,0.99,0.87
x4x.csv,1.0,0.43,0.82,0.58,0.85,0.84
