,qgo.csv,firebird.csv,applet2app.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,webdriver.csv,mscore.csv,yafdotnet.csv,nabu-library.csv,jparsec.csv,xined.csv,ns-3-dev-def-routing.csv,open-ms.csv,biodwh.csv,jcache.csv
applet2app.csv,0.73,0.41,0.95,0.37,0.41,0.33,0.56,0.46,0.54,0.63,0.6,0.4,0.17,0.46,0.67,0.53
biodwh.csv,0.5,0.24,0.18,0.17,0.16,0.0,0.2,0.14,0.08,0.06,0.04,0.0,0.22,0.1,0.83,0.15
blue-c.csv,0.7,0.72,0.89,0.69,0.78,1.0,0.93,0.63,0.55,0.55,0.87,1.0,0.76,0.79,0.75,0.82
cities3d.csv,0.77,0.35,0.58,0.06,0.86,0.07,0.73,0.2,0.42,0.81,0.56,0.3,0.37,0.31,0.58,0.5
firebird.csv,0.47,0.97,0.59,0.86,0.81,0.3,0.64,0.54,0.66,0.42,0.8,0.5,0.63,0.57,0.83,0.53
jcache.csv,0.1,0.59,0.27,0.14,0.19,0.3,0.22,0.31,0.45,0.13,0.36,0.6,0.16,0.29,0.5,0.97
jparsec.csv,0.77,0.56,0.6,0.66,0.84,0.4,0.67,0.71,0.74,0.38,0.96,0.8,0.67,0.58,0.75,0.74
mscore.csv,0.73,0.54,0.7,0.66,0.73,0.63,0.8,0.98,0.71,0.46,0.58,0.9,0.63,0.54,0.67,0.59
nabu-library.csv,0.83,0.66,0.74,0.83,0.84,0.7,0.6,0.67,0.64,0.99,0.33,0.7,0.72,0.56,1.0,0.65
ns-3-dev-def-routing.csv,0.53,0.44,0.33,0.51,0.49,0.37,0.36,0.46,0.18,0.21,0.53,0.7,0.93,0.31,0.17,0.29
open-ms.csv,0.9,0.73,0.62,0.46,0.49,0.17,0.47,0.42,0.31,0.12,0.62,0.5,0.26,0.94,0.75,0.5
popeye-chess.csv,0.67,0.51,0.57,0.94,0.76,0.4,0.64,0.5,0.55,0.23,0.71,0.7,0.48,0.58,0.33,0.41
qgo.csv,1.0,0.52,0.52,0.57,0.73,0.33,0.56,0.41,0.67,0.25,0.4,0.7,0.41,0.45,0.5,0.5
webdriver.csv,0.5,0.41,0.54,0.66,0.51,0.47,0.96,0.53,0.34,0.36,0.31,0.6,0.52,0.29,0.42,0.32
xined.csv,0.87,0.23,0.61,0.31,0.27,0.1,0.53,0.32,0.4,0.83,0.62,1.0,0.23,0.13,0.75,0.38
yafdotnet.csv,0.63,0.67,0.57,0.91,0.86,0.3,0.62,0.59,0.97,0.45,0.36,0.9,0.76,0.76,0.67,0.68
