,qgo.csv,firebird.csv,applet2app.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,webdriver.csv,mscore.csv,yafdotnet.csv,nabu-library.csv,jparsec.csv,xined.csv,ns-3-dev-def-routing.csv,open-ms.csv,biodwh.csv,jcache.csv
applet2app.csv,0.6,0.65,0.05,0.63,0.78,0.68,0.67,0.7,0.64,0.87,0.54,0.68,0.88,0.66,0.63,0.81
biodwh.csv,0.55,0.76,0.85,0.83,0.84,1.0,0.81,0.87,0.92,0.94,0.96,1.0,0.79,0.9,0.17,0.86
blue-c.csv,0.75,0.63,0.84,0.53,0.45,0.0,0.73,0.54,0.62,0.96,0.94,0.77,0.61,0.79,0.95,0.45
cities3d.csv,0.94,0.69,0.82,0.97,0.14,0.95,0.87,0.83,0.79,0.9,0.93,0.7,0.72,0.78,0.81,0.99
firebird.csv,0.59,0.03,0.59,0.54,0.58,0.7,0.53,0.52,0.64,0.62,0.88,0.96,0.59,0.66,0.48,0.52
jcache.csv,0.9,0.7,0.75,0.86,0.91,0.98,0.81,0.77,0.64,0.9,0.67,0.42,0.87,0.85,0.55,0.04
jparsec.csv,0.54,0.56,0.55,0.47,0.44,0.61,0.54,0.63,0.6,0.64,0.04,0.66,0.66,0.63,0.75,0.38
mscore.csv,0.63,0.58,0.59,0.41,0.64,0.44,0.47,0.02,0.53,1.07,0.54,0.5,0.66,0.64,0.63,0.82
nabu-library.csv,0.49,0.68,0.75,0.53,0.72,0.47,0.81,0.49,0.75,0.01,0.71,0.87,0.63,0.7,0.83,0.42
ns-3-dev-def-routing.csv,0.63,0.63,0.72,0.64,0.53,0.64,0.66,0.59,0.84,1.05,0.91,0.5,0.07,0.72,0.88,0.71
open-ms.csv,0.78,0.75,0.68,0.56,0.62,1.1,0.57,0.65,0.73,0.88,0.7,0.53,0.79,0.06,0.73,0.87
popeye-chess.csv,0.48,0.61,0.63,0.06,0.48,0.63,0.51,0.55,0.51,0.77,0.73,0.43,0.65,0.57,0.77,0.6
qgo.csv,0.0,0.55,0.54,0.5,0.57,0.67,0.56,0.61,0.48,0.78,0.62,0.46,0.66,0.62,0.65,0.53
webdriver.csv,0.62,0.63,0.62,0.4,0.54,0.53,0.04,0.51,0.67,0.95,0.7,0.76,0.57,0.73,0.67,0.69
xined.csv,0.81,0.78,0.76,0.76,0.73,0.91,0.75,0.74,0.76,0.9,0.93,0.0,0.78,0.87,0.63,1.01
yafdotnet.csv,0.48,0.54,0.6,0.91,0.55,0.7,0.57,0.61,0.03,0.99,0.67,0.7,0.63,0.67,0.74,0.42
