,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,power-architect.csv,bigdata.csv,kolmafia.csv,opendvr.csv,mevenide.csv,coot.csv,icescrum.csv,codesmith.csv,ta3d.csv,thedata.csv
apertium.csv,0.7,0.32,0.34,0.55,0.6,0.43,0.11,0.3,0.24,0.64,0.43,0.67,0.02,0.18,0.35,0.59,0.5,0.12,0.32
beast-mcmc.csv,0.24,0.89,0.58,0.61,0.51,0.62,0.83,0.48,0.81,0.93,0.81,0.49,0.75,0.82,1.0,0.69,0.24,0.94,0.48
bigdata.csv,0.16,0.24,0.22,0.47,0.37,0.29,1.0,0.14,0.05,0.14,0.49,0.28,0.36,0.08,0.14,0.44,0.35,1.0,0.5
codesmith.csv,0.36,0.68,0.21,0.58,0.49,0.77,0.6,0.89,0.0,0.93,0.19,0.36,0.62,0.24,0.68,0.34,0.32,0.38,0.24
coot.csv,0.69,0.39,0.83,0.84,0.0,0.65,0.57,0.53,0.62,0.5,0.57,0.08,0.0,0.78,0.27,0.53,0.18,0.0,0.76
cuberok.csv,0.24,0.39,0.31,0.18,0.77,0.44,0.31,0.29,0.28,0.57,0.43,0.82,1.0,0.48,0.32,0.28,0.56,0.62,0.37
icescrum.csv,0.28,0.32,0.22,0.16,0.31,0.35,0.31,0.29,0.31,0.29,0.24,0.36,0.25,0.26,0.32,0.22,0.12,0.38,0.13
jbasic.csv,0.66,0.82,0.56,0.68,0.66,0.75,0.63,0.39,0.91,1.0,0.19,0.82,0.91,0.66,0.76,0.78,0.53,0.81,0.55
jrefactory.csv,0.72,0.39,0.78,0.63,0.2,0.48,0.63,0.5,0.62,0.21,0.16,0.13,0.4,0.73,0.35,0.53,0.97,0.44,0.95
jsecurity.csv,0.17,0.58,0.23,0.13,0.51,0.32,0.46,0.09,0.21,0.14,0.24,0.46,0.17,0.17,0.32,0.16,0.82,0.5,0.02
kolmafia.csv,0.82,0.92,0.88,0.58,0.6,0.74,0.77,0.82,0.97,0.93,0.81,0.26,0.42,1.0,0.81,1.0,0.74,0.81,1.0
libopenmetaverse.csv,0.99,0.97,1.0,0.92,0.34,0.99,0.8,1.0,0.69,0.86,0.97,0.21,0.36,1.0,0.92,1.0,0.5,0.44,1.0
mevenide.csv,0.07,0.18,0.09,0.0,0.06,0.06,0.06,0.09,0.05,0.07,0.14,0.03,0.02,0.23,0.11,0.12,0.35,0.12,0.1
mobicents.csv,0.5,0.47,0.22,0.13,0.94,0.33,0.71,0.71,0.36,0.64,0.46,0.67,0.91,0.32,0.89,0.72,0.5,0.88,0.79
opendvr.csv,0.53,0.58,0.28,0.47,1.0,0.46,0.66,0.56,0.29,1.0,0.97,1.0,0.21,0.3,0.54,0.44,0.5,0.62,0.24
power-architect.csv,0.52,0.82,0.6,0.55,0.97,0.78,0.91,0.39,0.55,0.21,0.46,0.87,1.0,0.73,0.59,0.97,1.0,1.0,1.0
sidekar.csv,0.0,0.0,0.0,0.21,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0
ta3d.csv,0.36,0.21,0.24,0.63,0.0,0.35,0.97,0.12,0.26,0.43,0.32,0.49,0.0,0.17,0.14,0.47,0.24,0.44,0.81
thedata.csv,0.77,0.53,0.47,0.68,0.4,0.69,0.69,0.85,0.53,0.86,0.59,0.87,0.45,0.72,0.57,0.19,0.24,0.88,0.08
