,autofac.csv,mycila.csv,azureus.csv,octet.csv
autofac.csv,0.15,0.79,0.7,0.47
azureus.csv,0.7,0.5,0.2,0.86
mycila.csv,1.0,0.24,0.59,0.65
octet.csv,0.73,0.36,0.53,0.25
