,autofac.csv,mycila.csv,azureus.csv,octet.csv
autofac.csv,0.0,15.0,12.0,5.0
azureus.csv,3.0,3.0,0.0,2.0
mycila.csv,0.0,1.0,14.0,1.0
octet.csv,6.0,0.0,25.0,3.0
