,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.0,0.44,0.4,0.95,0.21,0.0,0.0,0.14,0.15,0.17
flylegacy.csv,0.56,0.73,0.99,0.3,0.7,0.34,0.31,0.62,0.45,0.63
jguard.csv,0.43,0.46,0.71,0.25,0.65,0.98,0.24,0.71,0.51,0.46
m-a-d-n-e-s-s.csv,0.4,0.26,0.72,0.26,0.54,0.05,0.34,0.38,1.0,0.27
mob-sen-plat.csv,0.3,1.0,0.53,0.18,0.23,0.42,0.24,0.69,0.32,0.39
raygina.csv,1.0,0.0,0.65,0.26,0.43,0.2,0.21,0.58,0.51,0.44
st-filteredstatistics.csv,0.63,0.66,0.69,0.22,0.59,0.42,0.36,0.99,0.49,0.48
upp-mirror.csv,0.43,0.16,0.56,0.3,0.98,0.23,0.29,0.18,0.34,0.26
wishmaster.csv,0.21,0.22,0.34,0.24,0.33,0.29,0.96,0.09,0.12,0.13
yarp.csv,0.43,0.17,0.61,0.28,0.22,0.27,0.0,0.19,0.43,0.98
