,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.0,0.34,0.29,0.93,0.15,0.0,0.0,0.1,0.1,0.14
flylegacy.csv,0.6,0.66,0.99,0.63,0.64,0.37,0.46,0.53,0.59,0.7
jguard.csv,0.52,0.41,0.61,0.56,0.59,0.98,0.4,0.58,0.59,0.52
m-a-d-n-e-s-s.csv,0.37,0.18,0.63,0.34,0.46,0.04,0.47,0.3,1.0,0.24
mob-sen-plat.csv,0.36,1.0,0.38,0.39,0.2,0.49,0.39,0.58,0.42,0.43
raygina.csv,1.0,0.0,0.55,0.45,0.37,0.23,0.38,0.49,0.59,0.44
st-filteredstatistics.csv,0.75,0.61,0.59,0.5,0.54,0.49,0.52,0.98,0.67,0.54
upp-mirror.csv,0.4,0.11,0.46,0.39,0.98,0.23,0.4,0.12,0.32,0.27
wishmaster.csv,0.19,0.18,0.26,0.41,0.26,0.33,0.94,0.06,0.1,0.1
yarp.csv,0.4,0.11,0.52,0.35,0.15,0.24,0.0,0.12,0.41,0.97
