,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.83,0.6,0.94,0.98,0.92,0.0,0.75,0.75,0.5,0.91
flylegacy.csv,0.35,0.42,0.38,0.39,0.37,0.57,0.4,0.44,0.46,0.5
jguard.csv,0.52,0.61,0.48,0.53,0.56,0.66,0.42,0.38,0.46,0.69
m-a-d-n-e-s-s.csv,0.67,0.8,0.39,0.75,0.66,0.86,0.52,0.77,0.64,0.58
mob-sen-plat.csv,0.56,0.36,0.61,0.55,0.9,0.69,0.67,0.42,0.61,0.54
raygina.csv,0.56,0.67,0.47,0.58,0.61,0.61,0.59,0.52,0.67,0.55
st-filteredstatistics.csv,0.33,0.5,0.48,0.48,0.44,0.58,0.41,0.33,0.48,0.47
upp-mirror.csv,0.65,0.75,0.53,0.87,0.47,0.78,0.7,0.83,0.81,0.81
wishmaster.csv,0.92,0.92,0.95,0.76,0.95,0.75,0.92,0.75,0.88,0.8
yarp.csv,0.71,0.67,0.46,0.99,0.9,0.93,0.92,0.75,0.94,0.67
