,id,count_recall,count_precision,count_pf,cdom_score,bellwether
56,2,1,2,2,1,mclient-mume.csv
51,3,0,1,5,5,jam-daq.csv
49,4,2,5,13,15,icescrum.csv
57,5,2,2,3,4,mule.csv
24,6,3,10,14,19,gabel.csv
19,7,3,0,9,12,sblim.csv
28,8,2,8,10,10,matrex.csv
17,9,1,1,5,5,mp-rechnungs-und-kundenverwaltung.csv
18,11,1,0,1,0,atunes.csv
52,12,2,1,1,1,gpsmid.csv
58,14,0,2,2,2,amanda.csv
50,15,4,8,11,18,bibedt.csv
21,16,5,4,8,12,openmeetings.csv
26,17,2,4,4,7,empserver.csv
15,18,8,4,7,15,phonon-vlc-mplayer.csv
27,19,2,1,1,2,qpe.csv
14,20,6,3,6,9,fritzing.csv
29,21,4,1,3,4,voms.csv
59,22,2,5,11,11,wow-qrsk.csv
16,27,1,5,7,8,jaql.csv
25,28,2,2,9,11,nodal.csv
20,29,4,4,7,12,opentibia.csv
39,30,4,11,15,17,fbmanager.csv
34,31,0,4,5,4,mediaportal.csv
13,33,1,7,12,11,quark.csv
12,34,1,3,10,9,m-a-d-n-e-s-s.csv
5,35,1,2,2,3,zorannt.csv
33,36,4,7,13,15,acdk.csv
40,37,1,12,20,19,reaper-ecad.csv
32,38,3,4,6,9,sepgsql.csv
41,39,6,6,8,15,zildo.csv
54,40,1,2,8,6,rtb-team.csv
47,41,4,3,7,9,applet2app.csv
22,42,2,2,4,4,adaptagrams.csv
31,43,3,12,14,18,exordium.csv
30,44,3,10,13,19,etics.csv
23,45,1,4,5,5,kmess.csv
46,46,1,3,5,4,tolven.csv
55,47,1,5,9,9,jstock.csv
48,48,1,5,11,11,nosleepsoftware.csv
53,49,3,9,15,17,img-browse-sort.csv
8,51,1,4,10,8,mvdsv.csv
42,52,6,3,10,15,jaolt.csv
38,53,2,1,2,2,graphmak.csv
37,54,4,4,16,18,gtad.csv
43,55,3,1,6,8,ossim.csv
7,56,5,7,13,16,opengs.csv
4,57,2,5,13,12,lockss.csv
9,58,1,1,2,1,papertoolkit.csv
1,59,1,0,3,3,maidsafe-dht.csv
11,60,3,3,6,11,codepurge.csv
0,61,1,1,4,4,mvnforum.csv
36,62,2,5,9,8,alembik.csv
44,63,2,1,1,1,silvertree.csv
45,64,1,0,1,0,jrdf.csv
35,65,2,7,7,10,rodin-b-sharp.csv
2,66,8,6,6,15,codeblocks.csv
10,67,1,4,14,13,adobe-source.csv
3,68,4,8,10,15,bionote.csv
6,69,0,4,7,6,moving-pictures.csv
