,recall,precision,pf,cdom,bellwether
1,0.77,0.5,0.44,7.0,sblim.csv
10,0.7949999999999999,0.7949999999999999,0.39,1.0,gpsmid.csv
13,0.51,0.41000000000000003,0.3,8.0,voms.csv
26,0.19,0.52,0.35,4.0,mediaportal.csv
32,0.68,0.44,0.33,16.0,jstock.csv
50,0.7,0.45,0.3,18.0,jaolt.csv
23,0.815,0.5900000000000001,0.545,1.0,magicwars.csv
24,0.5,0.495,0.385,3.0,personalaccess.csv
25,0.74,0.6950000000000001,0.65,0.0,xmemcached.csv
