,flylinkdc.csv,xbrlapi.csv,vdsf.csv,n2cms.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,codeblocks.csv,rtb-team.csv,ldview.csv,bulmages.csv,ctrlr.csv,kowari.csv,super-tux.csv
bulmages.csv,0.22,0.1,0.0,0.03,0.0,0.43,0.31,0.0,0.0,0.08,0.46,0.0,0.69,0.0
codeblocks.csv,0.27,0.5,0.32,0.09,0.18,0.58,0.21,0.49,0.05,0.84,0.26,0.39,0.29,0.2
ctrlr.csv,0.41,0.22,0.0,0.54,0.08,0.25,0.58,0.28,0.43,0.22,0.31,0.36,0.13,0.4
dvt.csv,0.6,0.55,0.19,0.35,0.0,0.42,0.3,0.49,0.14,0.62,0.48,0.36,0.08,0.2
flylinkdc.csv,0.24,0.8,0.97,0.84,0.74,0.62,0.94,0.26,1.0,0.3,0.54,0.75,1.0,0.4
kowari.csv,0.06,0.25,0.01,0.42,0.23,0.25,0.16,0.26,0.46,0.86,0.15,0.92,0.19,0.4
ldview.csv,0.95,0.68,0.44,0.42,0.64,0.75,0.5,0.46,0.03,0.32,0.54,0.27,0.73,0.4
maidsafe-dht.csv,0.15,0.22,0.3,0.24,0.92,0.27,0.25,0.54,0.73,0.05,0.24,0.58,0.72,0.0
n2cms.csv,0.7,0.57,0.41,0.26,0.23,0.47,0.35,0.13,0.08,0.41,0.55,0.34,0.69,0.2
nuttx.csv,0.28,0.32,0.08,0.08,0.49,0.18,0.18,0.31,0.16,0.43,0.18,0.32,0.32,0.2
rtb-team.csv,0.07,0.1,0.0,0.43,0.0,0.15,0.14,0.0,0.11,0.03,0.29,0.07,0.35,0.2
super-tux.csv,0.93,0.6,0.41,0.31,0.97,0.67,0.28,0.85,0.16,0.84,0.7,0.86,0.35,0.0
vdsf.csv,0.81,0.7,0.13,0.73,0.95,0.87,0.79,0.82,1.0,0.59,0.88,0.8,0.95,0.8
xbrlapi.csv,0.1,0.4,0.0,0.36,0.0,0.17,0.12,0.03,0.35,0.16,0.25,0.05,0.69,0.2
