,flylinkdc.csv,xbrlapi.csv,vdsf.csv,n2cms.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,codeblocks.csv,rtb-team.csv,ldview.csv,bulmages.csv,ctrlr.csv,kowari.csv,super-tux.csv
bulmages.csv,0.71,0.96,1.0,0.88,1.0,0.52,0.84,1.0,1.0,0.72,0.5,1.0,0.71,0.81
codeblocks.csv,0.51,0.78,0.62,0.74,0.65,0.65,0.7,0.56,1.0,0.84,0.81,0.46,0.41,0.33
ctrlr.csv,0.84,0.61,1.0,0.68,0.97,0.96,0.9,0.92,0.74,0.75,0.74,0.43,1.01,0.91
dvt.csv,0.65,0.78,0.75,0.81,1.0,0.83,0.43,0.58,0.88,0.81,0.58,0.46,1.0,0.69
flylinkdc.csv,0.4,0.81,0.98,0.84,0.79,0.63,0.94,0.67,1.0,0.6,0.63,0.8,1.0,0.49
kowari.csv,0.71,0.76,0.96,0.72,0.78,0.62,0.87,0.69,0.61,0.87,0.68,0.92,0.47,0.61
ldview.csv,0.95,0.76,0.54,0.65,0.82,0.76,0.66,0.63,0.73,0.43,0.66,0.81,0.74,0.52
maidsafe-dht.csv,0.75,0.79,0.49,0.71,0.97,0.39,0.85,0.63,0.74,0.72,0.58,0.92,0.77,0.63
n2cms.csv,0.72,0.66,0.54,0.4,0.81,0.55,0.61,0.67,0.47,0.63,0.6,0.92,0.71,0.58
nuttx.csv,0.54,0.89,0.89,0.88,0.56,0.74,0.88,0.52,0.82,0.55,0.97,0.66,0.54,0.61
rtb-team.csv,0.76,0.74,1.0,0.6,1.0,0.66,0.8,0.92,0.23,0.95,0.56,0.95,0.79,0.93
super-tux.csv,0.94,0.86,0.54,0.74,1.0,0.67,0.72,0.85,0.69,0.84,0.74,0.89,0.45,0.09
vdsf.csv,0.87,0.71,0.65,0.75,1.0,0.88,0.81,0.83,1.0,0.68,0.88,0.88,1.11,0.82
xbrlapi.csv,0.84,0.47,1.0,0.71,1.0,0.8,0.77,0.93,0.81,0.78,0.62,0.91,1.1,1.01
