,jlinalg.csv,arcallians.csv,yale.csv,qmmp.csv
arcallians.csv,0.54,0.98,0.58,0.39
jlinalg.csv,1.0,0.6,0.57,0.75
qmmp.csv,0.45,0.51,0.41,0.98
yale.csv,0.26,0.36,0.95,0.37
