,jlinalg.csv,arcallians.csv,yale.csv,qmmp.csv
arcallians.csv,0.84,0.98,0.24,0.54
jlinalg.csv,1.0,0.55,0.17,0.64
qmmp.csv,0.95,0.56,0.24,1.0
yale.csv,0.75,0.48,1.0,0.37
