,jlinalg.csv,arcallians.csv,yale.csv,qmmp.csv
arcallians.csv,0.6,0.03,0.54,0.72
jlinalg.csv,0.0,0.69,0.78,0.51
qmmp.csv,0.6,0.66,0.67,0.03
yale.csv,0.95,0.92,0.06,0.96
