,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,oscarmcmaster.csv
abbot.csv,0.77,0.72,1.02,0.87,1.0,1.0,0.78,0.43,0.76
jicarilla.csv,0.97,1.0,0.19,1.0,1.0,1.0,0.97,0.72,0.91
optalgtoolkit.csv,0.61,0.66,0.83,0.66,0.7,0.35,0.77,0.94,0.79
oscarmcmaster.csv,0.48,0.65,1.01,0.61,0.94,0.79,0.74,0.72,0.56
ossim.csv,0.85,0.83,0.85,0.4,1.0,0.72,0.76,0.92,0.85
projectts.csv,0.58,0.82,0.95,0.61,0.89,0.88,0.66,0.98,0.69
sabbu.csv,0.35,0.72,0.91,0.59,0.63,0.86,0.72,0.92,0.72
vxl.csv,0.51,0.74,0.88,0.5,0.84,0.9,0.66,0.8,0.71
zact.csv,0.77,0.97,0.61,0.61,0.38,1.0,0.81,0.78,0.82
