,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,fido.csv,megameknet.csv,geogebra.csv,duplicati.csv
botsnscouts.csv,0.44,0.38,0.36,0.33,0.32,0.33,0.44,0.34,0.53,0.4,0.39,0.41,0.35,0.51,0.35,0.48,0.43,0.41
dspace-gsoc.csv,0.41,0.35,0.4,0.5,0.4,0.37,0.41,0.42,0.41,0.41,0.35,0.41,0.37,0.94,0.33,0.56,0.48,0.4
fbmanager.csv,0.83,0.67,0.43,0.42,0.9,0.93,0.57,0.67,0.0,0.8,0.89,0.5,0.72,0.83,0.89,0.75,0.0,0.41
fido.csv,0.5,0.67,0.0,0.83,0.94,0.92,0.0,0.71,0.0,0.5,0.0,0.0,0.8,0.0,0.94,0.0,0.89,0.8
freenet.csv,0.73,0.3,0.68,0.44,0.43,0.5,0.33,0.33,0.45,0.69,0.3,0.43,0.35,0.54,0.4,0.54,0.46,0.38
geogebra.csv,0.58,0.73,0.55,0.38,0.34,0.55,0.45,0.51,0.77,0.61,0.47,0.34,0.5,0.9,0.69,0.61,0.48,0.44
google-caja.csv,0.43,0.35,0.4,0.34,0.32,0.3,0.34,0.34,0.4,0.37,0.31,0.39,0.31,0.36,0.3,0.41,0.38,0.33
itext.csv,0.45,0.32,0.38,0.41,0.34,0.36,0.38,0.31,0.41,0.42,0.29,0.35,0.5,0.29,0.54,0.42,0.4,0.37
k3b.csv,0.44,0.35,0.39,0.47,0.39,0.39,0.37,0.35,0.48,0.41,0.3,0.43,0.48,0.56,0.34,0.47,0.43,0.41
megameknet.csv,0.49,0.34,0.52,0.45,0.4,0.7,0.5,0.36,0.5,0.54,0.35,0.42,0.49,0.5,0.65,0.53,0.45,0.35
myfaces.csv,0.44,0.48,0.58,0.43,0.47,0.47,0.53,0.76,0.6,0.5,0.43,0.59,0.34,0.32,0.54,0.64,0.57,0.44
onotoa.csv,0.6,0.5,0.93,0.42,0.57,0.44,0.47,0.58,0.48,0.57,0.35,0.71,0.4,0.58,0.43,0.64,0.72,0.38
paintown.csv,0.42,0.45,0.42,0.41,0.45,0.46,0.33,0.36,0.45,0.48,0.35,0.56,0.37,0.58,0.36,0.47,0.4,0.46
powerfolder.csv,0.51,0.89,0.41,0.56,0.71,0.47,0.73,0.91,0.64,0.42,0.71,0.89,0.94,0.81,0.64,0.57,0.66,0.89
smartgwt.csv,0.45,0.6,0.41,0.85,0.82,0.74,0.86,0.41,0.7,0.42,0.38,0.67,0.81,0.4,0.44,0.65,0.78,0.54
sqlpower-library.csv,0.44,0.34,0.44,0.41,0.35,0.37,0.33,0.33,0.48,0.42,0.3,0.43,0.38,0.65,0.32,0.56,0.48,0.33
triplea.csv,0.49,0.46,0.42,0.39,0.36,0.51,0.44,0.33,0.45,0.44,0.45,0.39,0.44,0.52,0.51,0.53,0.43,0.33
