,nullc.csv,superwaba.csv,sylpheed-claws.csv,flexpay.csv,bacnet.csv,pgui.csv,lufa-lib.csv,xqilla.csv,bibletime.csv
bacnet.csv,0.8,0.58,0.73,0.55,0.61,0.66,0.26,0.67,0.58
bibletime.csv,0.38,0.84,0.79,0.56,0.92,0.89,0.72,1.0,0.7
flexpay.csv,0.6,0.18,0.04,0.46,0.84,0.11,0.84,0.0,0.32
lufa-lib.csv,0.74,0.3,0.45,0.73,0.42,0.36,0.66,0.0,0.3
nullc.csv,0.66,0.92,0.86,0.89,0.42,0.83,0.35,1.0,0.65
pgui.csv,0.98,0.42,0.0,0.17,1.0,0.62,1.0,0.0,1.0
superwaba.csv,0.66,0.72,0.73,0.84,0.55,0.72,0.3,1.0,0.85
sylpheed-claws.csv,1.0,0.64,0.68,0.83,1.0,0.7,1.0,1.0,1.0
xqilla.csv,0.28,0.28,0.19,0.15,0.29,0.13,0.17,1.0,0.15
