,paintown.csv,google-collections.csv,smbopensoft.csv,open-media-library.csv,forester-atv.csv,openefm.csv,badtrinitycore.csv,trackit.csv,jbpm.csv,nassp.csv,oppna-program-hsatools.csv,bulmages.csv,st-filteredstatistics.csv,projectfactory.csv,hannosset.csv,wxstudio.csv,opendvr.csv,mevenide.csv,thedata.csv
badtrinitycore.csv,0.5,0.15,0.05,0.35,0.58,0.3,0.83,0.17,0.19,0.83,0.21,0.67,0.49,0.1,0.0,0.65,0.23,0.34,0.75
bulmages.csv,0.22,0.26,0.01,0.2,0.31,0.09,0.34,0.29,0.06,0.83,0.25,0.62,0.03,0.0,0.0,0.14,0.32,0.69,0.25
forester-atv.csv,0.01,0.22,0.91,0.15,0.81,0.09,0.02,0.12,0.48,0.17,0.1,0.05,0.13,0.13,0.0,0.05,0.0,0.24,0.0
google-collections.csv,1.0,0.81,1.0,1.0,0.96,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hannosset.csv,0.22,0.62,0.2,0.2,0.35,0.64,0.0,0.73,0.1,0.17,0.32,0.24,0.33,0.21,0.67,0.3,0.36,0.03,0.25
jbpm.csv,0.03,0.0,0.0,0.15,0.27,0.06,0.19,0.02,0.73,0.0,0.03,0.0,0.13,0.0,0.0,0.0,0.0,0.1,0.25
mevenide.csv,0.28,0.25,0.01,0.22,0.35,0.24,0.36,0.02,0.54,0.5,0.28,0.14,0.08,0.21,0.0,0.05,0.0,0.69,0.25
nassp.csv,0.29,0.45,0.01,0.18,0.35,0.21,0.28,0.2,0.02,0.67,0.08,0.19,0.23,0.03,0.17,0.14,0.14,0.07,0.0
open-media-library.csv,0.65,0.09,0.99,0.68,0.92,0.52,0.81,0.54,0.96,0.75,0.69,0.67,0.85,0.95,0.17,0.59,0.32,0.69,0.75
opendvr.csv,0.35,0.55,0.99,0.88,0.92,0.73,0.62,0.22,0.75,0.58,0.53,0.57,0.82,0.49,0.83,0.57,0.77,0.28,0.25
openefm.csv,0.72,0.06,0.6,0.42,0.31,0.67,0.02,0.8,0.5,0.5,0.67,0.76,0.62,0.77,0.83,0.38,1.0,0.86,0.5
oppna-program-hsatools.csv,0.5,0.64,0.98,0.65,0.54,0.61,0.81,0.29,0.79,0.83,0.83,0.76,0.15,0.67,0.5,0.54,0.45,1.0,0.25
paintown.csv,0.68,0.94,0.99,0.75,0.92,0.91,0.81,0.63,1.0,0.83,0.96,0.71,0.97,1.0,0.33,0.62,0.23,1.0,0.25
projectfactory.csv,0.26,0.15,0.7,0.45,0.77,0.64,0.23,0.44,0.73,0.33,0.46,0.14,0.54,0.59,0.0,0.32,0.32,0.52,0.5
smbopensoft.csv,0.66,0.79,0.81,0.8,0.92,0.64,0.45,0.8,0.73,0.58,0.3,0.48,0.97,0.56,1.0,0.57,1.0,0.14,0.5
st-filteredstatistics.csv,0.68,0.34,0.98,0.92,0.5,0.79,0.96,0.73,0.79,0.75,0.66,0.52,0.79,0.97,0.67,0.54,0.95,0.97,1.0
thedata.csv,0.74,0.81,0.98,0.35,0.77,0.61,0.66,0.73,0.44,1.0,0.59,0.76,0.79,0.85,0.67,0.68,0.45,0.48,1.0
trackit.csv,0.44,0.14,0.01,0.12,0.04,0.12,0.13,0.71,0.0,0.0,0.15,0.29,0.51,0.0,0.5,0.46,0.68,0.0,0.75
wxstudio.csv,0.28,0.57,0.04,0.35,0.15,0.18,0.49,0.22,0.12,0.08,0.44,0.29,0.05,0.1,0.33,0.73,0.18,0.07,0.75
