,gtad.csv,wgs-assembler.csv,nh3d.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,tokratan.csv,mvnforum.csv,myfaces.csv,ogrehg.csv,m-a-d-n-e-s-s.csv,lcfizvtop.csv,gusanos.csv,pydev.csv,mediaportal.csv,free-evolution.csv,pnotepad.csv,cme.csv
blogentis.csv,0.49,0.5,0.56,0.0,0.4,0.71,0.4,0.12,0.16,0.5,0.29,0.44,0.35,0.49,0.36,0.53,0.24,0.43,0.0,0.86
cme.csv,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.1,0.04,0.02,1.0
free-evolution.csv,0.91,0.0,0.62,0.5,0.54,0.56,0.41,0.58,0.41,0.56,0.78,0.49,0.5,0.21,0.0,0.32,0.53,0.49,0.74,0.51
gtad.csv,0.96,0.65,0.28,0.17,0.5,0.6,0.05,0.12,0.23,0.47,0.45,0.28,0.45,0.11,0.23,0.67,0.37,0.28,0.27,0.0
gusanos.csv,0.94,0.1,0.52,0.72,0.71,0.63,0.21,0.24,0.62,0.36,0.7,0.66,0.58,0.67,0.81,0.65,0.64,0.54,0.5,0.83
kaffeine.csv,0.17,0.12,0.28,0.84,0.69,0.66,0.42,0.12,0.67,0.53,0.74,0.62,0.69,0.6,0.7,0.57,0.56,0.58,0.75,0.67
lcfizvtop.csv,0.84,0.32,0.28,0.73,0.58,0.59,0.28,0.12,0.44,0.42,0.67,0.51,0.36,0.79,0.27,0.66,0.64,0.68,0.6,0.87
m-a-d-n-e-s-s.csv,0.55,0.41,0.05,0.15,0.5,0.49,0.28,0.4,0.38,0.32,0.5,0.33,0.74,0.0,0.15,0.69,0.43,0.11,0.15,0.23
m-m-m.csv,0.86,0.48,0.65,0.51,0.57,0.31,0.75,0.49,0.36,0.47,0.2,0.55,0.54,0.57,0.59,0.34,0.62,0.56,0.63,0.0
mediaportal.csv,0.0,0.35,0.0,0.07,0.31,0.1,0.24,0.17,0.62,0.26,0.52,0.24,0.33,0.11,0.37,0.29,0.6,0.15,0.32,0.0
mvnforum.csv,0.0,0.41,0.59,0.2,0.11,0.46,0.44,0.63,0.23,0.68,0.1,0.4,0.27,0.11,0.41,0.07,0.18,0.25,0.32,0.0
myfaces.csv,0.72,0.52,0.23,0.24,0.48,0.53,0.29,0.12,0.62,0.47,0.65,0.51,0.72,0.4,0.29,0.75,0.62,0.31,0.45,0.72
nh3d.csv,0.0,0.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.09,0.0,0.0,0.05,0.0,0.0,0.0,0.0
ogrehg.csv,0.52,0.37,0.0,0.22,0.5,0.24,0.21,0.41,0.53,0.63,0.54,0.66,0.57,0.31,0.63,0.45,0.53,0.41,0.37,0.4
pnotepad.csv,0.7,0.62,0.27,0.6,0.66,0.42,0.75,0.17,0.65,0.61,0.69,0.62,0.69,0.68,0.26,0.36,0.54,0.64,0.84,0.24
pydev.csv,0.53,0.56,0.48,0.44,0.56,0.61,0.31,0.59,0.56,0.56,0.69,0.48,0.76,0.49,0.35,0.72,0.6,0.43,0.45,0.75
sarasvati.csv,0.51,0.35,0.5,0.17,0.72,0.32,0.26,0.0,0.65,0.46,0.69,0.31,0.41,0.54,0.25,0.42,0.63,0.38,0.31,0.44
taokgame.csv,0.54,0.1,0.0,0.1,0.11,0.33,0.07,0.98,0.51,0.2,0.32,0.23,0.15,0.21,0.16,0.25,0.18,0.21,0.18,0.44
tokratan.csv,0.68,0.51,0.05,0.26,0.31,0.59,0.56,0.11,0.69,0.6,0.65,0.6,0.72,0.4,0.53,0.75,0.62,0.31,0.56,0.71
wgs-assembler.csv,0.8,0.57,0.27,0.19,0.6,0.52,0.34,0.59,0.5,0.52,0.48,0.56,0.6,0.31,0.48,0.44,0.49,0.31,0.49,0.0
