,id,count_recall,count_precision,count_pf,cdom_score,bellwether
48,3,1,0,3,4,jaql.csv
46,4,4,3,1,3,fontforge.csv
53,5,8,12,13,19,modellus.csv
22,6,10,8,10,17,ultimairis.csv
17,7,2,0,2,1,openmeetings.csv
28,8,3,3,3,4,qse.csv
15,9,7,10,14,19,emeraldemu.csv
25,10,11,6,6,17,clamav.csv
16,11,8,7,6,10,sigil.csv
49,12,3,7,10,13,kmess.csv
52,13,4,2,6,7,migen.csv
54,14,2,1,3,7,bibedt.csv
47,15,4,1,0,5,codeblocks.csv
19,16,4,3,3,4,qtractor.csv
24,17,3,4,11,19,ossbuild.csv
13,18,1,12,18,17,genoviz.csv
26,19,1,8,14,14,emulemorph.csv
12,20,0,0,1,0,dataobjectsdotnet.csv
29,21,3,2,10,8,proftp.csv
55,22,2,3,4,3,pcsx2.csv
45,24,6,1,5,7,sblim.csv
56,25,1,2,2,1,jsidplay2.csv
27,26,1,2,5,4,scenemonitor.csv
14,27,1,3,6,6,haggle.csv
23,28,5,4,7,10,neodatis-odb.csv
18,29,1,3,4,7,ibatisdb.csv
36,30,2,6,17,15,foursquared.csv
4,32,0,0,2,1,bloodycore.csv
11,33,9,4,5,13,columba.csv
10,34,2,6,15,14,gtad.csv
5,35,6,5,5,10,yaprm.csv
37,37,4,7,12,15,apertium.csv
32,38,1,9,16,15,mvdsv.csv
38,39,1,5,8,11,hydrate.csv
50,40,6,3,3,7,web-cat.csv
43,41,2,2,5,9,gogoego.csv
20,42,1,6,18,18,nassp.csv
31,43,2,7,12,15,adaptagrams.csv
30,44,1,6,19,19,lite.csv
21,45,4,4,7,11,jitterbit.csv
42,46,3,8,13,18,moving-pictures.csv
51,47,1,3,8,7,alembik.csv
44,48,2,0,3,4,xamj.csv
2,50,1,3,9,12,gwanted.csv
7,51,3,2,15,16,taokgame.csv
39,52,1,1,6,5,aztec.csv
35,53,0,2,3,3,mp-rechnungs-und-kundenverwaltung.csv
34,54,2,3,9,10,stuproa-cims.csv
40,55,1,9,14,13,cornerstone.csv
6,56,2,2,4,4,tolven.csv
3,57,2,4,9,9,zxing.csv
8,58,1,2,5,4,e-bio-flow.csv
1,59,2,3,10,11,piccolo2d.csv
9,60,8,6,14,19,riff-evolve.csv
0,61,4,2,3,6,projecteqemu.csv
33,62,3,5,4,7,selenium.csv
41,63,1,7,15,13,quark.csv
