,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,hibernate.csv,emite.csv,geogebra.csv,uface.csv
boost-sandbox.csv,0.04,0.77,0.23,0.38,0.47,0.65,0.44,0.61,0.92,0.77,0.85,0.45,0.5
bscwweasel.csv,0.0,0.01,0.22,0.2,0.18,0.3,0.21,0.79,0.21,0.2,0.35,0.09,0.24
capcode.csv,0.0,0.62,0.76,0.73,0.27,0.25,0.28,0.15,0.52,0.53,0.57,0.17,0.28
emite.csv,0.7,0.45,0.19,0.2,0.44,0.46,0.23,0.14,0.16,0.24,0.4,0.37,0.22
geogebra.csv,0.0,0.26,0.07,0.2,0.51,0.38,0.87,0.5,0.37,0.27,0.05,0.23,0.09
hibernate.csv,1.0,0.06,0.78,0.92,0.67,0.76,0.36,0.34,0.38,0.29,0.22,0.35,0.61
lamp.csv,0.25,0.22,0.15,0.47,0.98,0.72,0.95,0.33,0.62,0.43,0.32,0.8,0.72
nodal.csv,0.0,0.09,0.18,0.35,0.47,0.23,0.0,0.15,0.21,0.18,0.08,0.19,0.13
retromenu.csv,0.02,0.24,0.24,0.19,0.29,0.34,0.18,0.37,0.19,0.13,0.32,0.18,0.02
smbopensoft.csv,0.2,0.98,0.95,0.7,0.8,0.45,0.64,0.25,0.33,0.75,0.78,0.69,0.19
stuproa-cims.csv,0.0,0.0,0.16,0.13,0.49,0.06,0.03,0.18,0.51,0.07,0.22,0.22,0.5
thout.csv,0.49,0.98,0.23,0.06,0.53,0.89,0.85,0.86,0.92,0.72,0.88,0.88,0.35
uface.csv,1.0,1.0,0.94,0.5,0.71,0.63,1.0,0.63,0.51,0.53,0.5,0.74,0.04
