,empyrean.csv,amanda.csv,nutz.csv,yafdotnet.csv,mplayer-ce.csv
amanda.csv,0.52,0.73,0.55,0.17,0.13
empyrean.csv,0.75,0.0,0.0,0.0,0.0
mplayer-ce.csv,0.93,0.67,0.79,0.63,0.56
nutz.csv,0.59,0.54,0.77,0.82,0.93
yafdotnet.csv,0.26,0.62,0.44,0.72,0.33
