,barracudamvc.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,mycila.csv,jppf-project.csv,cascading.csv,ontopia.csv,mevenide.csv
alembik.csv,0.1,0.03,0.0,0.4,0.0,0.09,0.07,0.38,0.06,0.21,0.02
arsenal-1.csv,0.6,0.0,0.48,0.32,0.26,0.22,0.4,0.62,0.3,0.79,0.31
barracudamvc.csv,0.0,0.71,0.68,0.66,0.83,0.89,0.83,0.38,0.91,0.64,0.9
cascading.csv,0.4,0.19,0.39,0.32,0.52,0.38,0.33,0.12,0.03,0.64,0.58
emisview.csv,0.05,0.0,0.13,0.0,0.09,0.06,0.05,0.0,0.06,0.14,0.03
jitterbit.csv,0.4,0.35,0.42,0.58,0.17,0.0,0.29,0.5,0.09,0.14,0.11
jppf-project.csv,1.0,0.94,0.84,0.94,1.0,0.97,0.95,0.12,0.88,0.93,0.98
mevenide.csv,0.25,0.68,0.23,0.17,0.13,0.14,0.07,0.38,0.06,0.21,0.0
mycila.csv,0.1,0.39,0.13,0.0,0.17,0.05,0.0,0.12,0.0,0.07,0.05
ontopia.csv,0.35,0.23,0.77,0.83,0.43,0.83,0.19,0.0,0.73,0.0,0.75
trackit.csv,0.7,0.74,0.23,0.34,0.0,0.46,0.5,0.12,0.27,0.29,0.66
