,xstore.csv,pcsx2.csv,dataobjectsdotnet.csv,img-browse-sort.csv
dataobjectsdotnet.csv,0.52,0.86,0.59,0.38
img-browse-sort.csv,0.64,0.76,0.46,0.55
pcsx2.csv,0.64,0.79,0.5,0.3
xstore.csv,0.66,0.73,0.4,0.3
