,xstore.csv,pcsx2.csv,dataobjectsdotnet.csv,img-browse-sort.csv
dataobjectsdotnet.csv,0.96,0.8,0.49,0.78
img-browse-sort.csv,0.53,0.52,0.68,0.28
pcsx2.csv,0.53,0.45,0.63,0.74
xstore.csv,0.5,0.58,0.78,0.65
