,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv
bloodycore.csv,0.53,0.75,0.68,0.0,0.46,0.75,0.52
flylegacy.csv,0.6,0.4,0.0,0.58,0.63,0.18,0.8
jguard.csv,0.58,0.4,0.36,0.39,0.37,0.0,0.74
mob-sen-plat.csv,0.77,0.0,0.82,0.62,0.63,0.59,0.46
raygina.csv,0.0,0.15,0.45,0.21,0.22,0.23,0.25
upp-mirror.csv,0.23,0.05,0.23,0.21,0.0,0.05,0.34
wishmaster.csv,0.19,0.2,0.27,0.2,0.27,0.41,0.0
