,wpdev.csv,nova.csv,crisscross.csv,ontomorphtab.csv,abbot.csv,jitterbit.csv,vienna-add-in.csv,jguard.csv,gabel.csv,vrjuggler.csv,mycila.csv,tmva.csv
abbot.csv,0.0,0.55,0.24,0.52,0.0,0.32,0.54,0.18,0.36,0.17,0.45,0.33
crisscross.csv,0.5,0.23,0.0,0.05,0.11,0.11,0.07,0.09,0.23,0.36,0.05,0.07
gabel.csv,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.17,0.0
jguard.csv,0.0,0.48,0.18,0.62,0.89,0.5,0.56,0.0,0.62,0.64,0.52,0.32
jitterbit.csv,0.0,0.52,0.16,0.14,0.11,0.01,0.2,0.12,0.21,0.05,0.4,0.15
mycila.csv,1.0,0.98,0.31,0.48,0.11,0.21,0.24,0.16,0.25,0.54,0.02,0.43
nova.csv,0.5,0.0,0.19,0.33,0.17,0.22,0.56,0.43,0.54,0.34,0.48,0.43
ontomorphtab.csv,1.0,0.11,0.77,0.05,0.39,0.36,0.9,0.41,0.49,0.2,0.69,0.23
tmva.csv,0.5,1.0,0.53,0.62,0.33,0.64,0.73,0.68,0.83,0.51,0.64,0.02
vienna-add-in.csv,1.0,1.0,0.99,0.43,0.78,0.38,0.02,0.41,0.67,1.0,0.31,0.35
vrjuggler.csv,0.0,0.02,0.04,0.71,0.11,0.4,0.61,0.7,0.33,0.02,0.69,0.0
wpdev.csv,0.0,0.84,0.83,1.0,0.61,0.98,0.98,0.96,0.98,1.0,0.95,0.98
