,wpdev.csv,nova.csv,crisscross.csv,ontomorphtab.csv,abbot.csv,jitterbit.csv,vienna-add-in.csv,jguard.csv,gabel.csv,vrjuggler.csv,mycila.csv,tmva.csv
abbot.csv,0.27,0.54,0.24,0.26,0.98,0.2,0.47,0.13,0.38,0.19,0.2,0.27
crisscross.csv,0.28,0.46,0.76,0.26,0.07,0.2,0.14,0.1,0.12,0.31,0.1,0.26
gabel.csv,0.01,0.0,0.0,0.14,0.0,0.11,0.02,0.03,1.0,0.0,0.0,0.0
jguard.csv,0.5,0.31,0.29,0.6,0.77,0.36,0.58,0.97,0.88,0.94,0.8,0.59
jitterbit.csv,0.43,0.23,0.38,0.2,0.02,0.89,0.29,0.07,0.5,0.06,0.2,0.25
mycila.csv,0.83,0.92,0.05,0.51,0.25,0.12,0.47,0.33,0.12,0.5,1.0,0.27
nova.csv,0.64,1.0,0.38,0.37,0.2,0.54,0.57,0.47,0.88,0.19,0.5,0.66
ontomorphtab.csv,0.86,0.38,0.95,0.97,0.32,0.35,0.66,0.6,0.88,0.12,1.0,0.45
tmva.csv,0.59,1.0,0.57,0.77,0.39,0.73,0.82,0.53,1.0,0.38,0.7,0.99
vienna-add-in.csv,0.93,1.0,0.95,0.43,0.82,0.63,0.99,0.43,0.88,1.0,0.3,0.68
vrjuggler.csv,0.12,0.08,0.1,0.49,0.32,0.56,0.6,0.5,0.0,0.88,0.8,0.05
wpdev.csv,1.0,0.62,0.86,0.97,0.66,0.98,1.0,1.0,1.0,1.0,1.0,0.99
