,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,wxstudio.csv,simplewebservices.csv,uwom.csv
acegisecurity.csv,0.52,0.52,0.71,0.5,0.43,0.51
ppcboot.csv,0.38,0.44,0.84,0.48,0.36,0.41
simplewebservices.csv,0.38,0.43,0.58,0.5,0.42,0.42
uwom.csv,0.66,0.62,0.98,0.52,0.45,0.61
wow-qrsk.csv,0.54,0.58,0.93,0.0,0.85,0.58
wxstudio.csv,0.63,0.51,0.6,0.49,0.67,0.47
