,opentibia.csv,x-ray-mule.csv,jython.csv,unbvision.csv,galaxium.csv,power-architect.csv,ondex.csv,fleet-simulator.csv,ninject.csv
fleet-simulator.csv,0.85,0.89,1.0,1.0,0.59,1.0,0.98,0.02,0.65
galaxium.csv,0.63,0.99,0.95,0.61,0.28,0.73,0.64,0.43,0.61
jython.csv,0.76,0.85,0.19,0.64,0.66,0.94,0.73,1.0,0.91
ninject.csv,0.91,0.7,0.91,0.97,0.8,0.69,0.93,1.29,0.16
ondex.csv,0.67,0.74,0.96,0.61,0.78,0.68,0.59,0.76,0.82
opentibia.csv,0.32,0.79,0.66,1.0,0.71,0.7,0.67,1.17,0.61
power-architect.csv,1.0,1.0,1.0,0.98,1.0,0.26,0.9,1.07,0.58
unbvision.csv,0.6,0.94,0.31,0.34,0.57,0.81,0.74,0.91,0.36
x-ray-mule.csv,0.94,0.39,0.95,0.91,0.79,0.82,0.71,1.16,1.0
