,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.16,0.46,0.42,0.25,0.27,0.96,0.15,0.24,0.18,0.13,0.17,0.28,0.69,0.35
crux-framework.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
etherboot.csv,0.37,0.06,0.23,0.25,1.0,0.17,0.38,0.25,0.34,0.37,0.11,0.27,0.97,0.05
freebios.csv,0.43,0.46,0.22,0.5,0.46,0.22,0.99,0.42,0.34,0.53,0.35,0.36,0.65,0.52
gebr.csv,0.48,0.3,0.64,0.61,0.65,0.61,0.43,0.98,0.52,0.59,0.67,0.6,0.66,0.58
gnukeda.csv,0.52,0.83,0.64,0.96,0.61,0.76,0.27,0.53,0.65,0.62,0.61,0.5,0.72,0.68
google-gears.csv,0.61,0.73,0.53,0.71,0.57,0.53,0.4,0.59,0.6,0.57,0.98,0.66,0.66,0.67
gstreamer.csv,0.57,0.68,0.4,0.48,0.44,0.54,0.49,0.55,0.6,0.58,0.47,0.98,0.58,0.68
jnode.csv,0.0,0.0,1.0,0.04,0.0,0.0,0.02,0.01,0.02,0.0,0.02,0.01,0.0,0.0
metacosm.csv,0.43,0.5,0.42,0.36,0.21,0.6,0.15,0.17,0.6,0.41,0.37,0.45,0.67,0.97
openmeetings.csv,0.56,0.93,0.48,0.43,0.11,0.26,0.07,0.09,0.4,0.46,0.42,0.24,0.7,0.42
pgui.csv,0.44,0.53,0.42,0.47,0.39,0.46,0.26,0.5,0.95,0.74,0.59,0.35,0.37,0.61
tradelink.csv,0.27,0.11,0.07,0.25,0.17,0.53,0.28,0.0,0.37,0.96,0.17,0.4,0.37,0.0
wxcrp.csv,1.0,0.48,0.47,0.25,0.21,0.61,0.02,0.31,0.65,0.68,0.33,0.66,0.47,0.54
