,autofac.csv,mycila.csv,azureus.csv,octet.csv
autofac.csv,0.76,0.4,0.7,0.57
azureus.csv,0.69,0.5,0.79,0.71
mycila.csv,1.0,0.8,0.73,0.71
octet.csv,0.69,0.3,0.62,0.71
