,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,tradelink.csv,google-gears.csv,glelite.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.58,0.36,0.5,0.33,0.59,0.62,0.16,0.05,0.32,0.59,0.32,0.39,0.19,0.15,0.33,0.7
bdbbasic.csv,0.68,0.23,0.31,0.46,0.27,0.78,0.02,0.05,0.74,0.9,0.32,0.41,0.51,0.18,0.33,0.78
crux-framework.csv,0.29,0.45,0.12,0.18,0.05,0.46,0.41,0.12,0.16,0.05,0.16,0.28,0.0,0.19,1.0,0.07
echongl.csv,0.52,0.14,0.94,0.62,0.73,0.59,0.14,0.34,0.79,0.86,0.53,0.51,0.77,0.56,0.67,0.59
etherboot.csv,0.03,0.55,0.0,0.0,0.5,0.03,0.0,0.52,0.42,0.0,0.89,0.04,0.95,0.0,1.0,1.0
freebios.csv,0.48,0.27,0.38,0.62,0.45,0.14,0.8,0.43,0.42,0.45,0.47,0.52,0.46,0.21,1.0,0.22
gebr.csv,1.0,0.95,0.5,0.74,0.77,1.0,0.65,0.64,0.89,1.0,0.84,0.91,0.85,0.81,1.0,1.0
glelite.csv,0.94,1.0,1.0,0.87,0.95,0.95,0.92,0.73,1.0,0.98,0.74,0.82,0.96,0.99,1.0,0.93
gnukeda.csv,0.87,0.23,0.31,0.69,0.27,0.27,0.12,0.03,0.0,0.01,0.26,0.79,0.09,0.02,0.33,0.89
google-gears.csv,0.81,0.82,0.88,0.44,0.86,0.97,0.94,0.86,1.0,0.97,0.89,0.74,0.95,0.9,1.0,1.0
gstreamer.csv,0.77,0.77,0.06,0.54,0.64,0.89,0.59,0.44,0.89,0.79,0.74,0.68,0.52,0.7,1.0,1.0
jnode.csv,0.03,0.36,0.88,0.44,0.05,0.0,0.14,0.42,0.21,0.1,0.05,0.15,0.02,0.02,0.33,0.07
metacosm.csv,0.32,0.68,0.94,0.54,0.18,0.32,0.14,0.47,0.26,0.4,0.63,0.32,0.41,0.32,0.67,0.78
openmeetings.csv,0.42,0.95,0.62,0.15,0.45,0.57,0.04,0.38,0.32,0.54,0.42,0.22,0.28,0.3,0.67,0.56
tradelink.csv,0.19,0.23,0.62,0.36,0.59,0.46,0.35,0.28,0.37,0.35,0.79,0.25,0.45,0.54,0.67,0.67
wxcrp.csv,0.48,0.73,1.0,0.67,1.0,0.89,0.67,1.0,0.89,0.95,0.89,0.77,0.99,0.86,0.67,0.85
