,guineu.csv,x4x.csv,amanda.csv,arsenal-1.csv,mvdsv.csv,fm-classic.csv,bnetd.csv,libmesh.csv,cascading.csv,twostep.csv,gnome-jabber.csv,free-evolution.csv,ipfilter.csv,l2j.csv,jruby.csv,stajistics.csv
amanda.csv,0.74,0.54,0.45,0.38,0.77,0.59,0.63,0.58,0.5,0.68,0.5,0.5,0.75,0.72,0.55,0.65
arsenal-1.csv,0.83,0.9,0.9,0.56,0.67,0.79,0.5,0.5,0.75,0.86,0.0,0.83,0.86,0.76,0.9,0.0
bnetd.csv,0.31,0.38,0.4,0.35,0.31,0.3,0.45,0.4,0.41,0.41,0.36,0.49,0.39,0.39,0.48,0.49
cascading.csv,0.59,0.52,0.4,0.37,0.38,0.34,0.63,0.52,0.46,0.83,0.8,0.58,0.75,0.68,0.59,0.57
fm-classic.csv,0.9,0.86,0.9,0.86,0.83,0.88,0.88,0.78,0.92,0.8,0.67,0.75,0.56,0.94,0.92,0.68
free-evolution.csv,0.33,0.3,0.35,0.33,0.37,0.86,0.5,0.45,0.39,0.33,0.52,0.55,0.37,0.66,0.42,0.36
gnome-jabber.csv,0.46,0.37,0.43,0.9,0.33,0.29,0.5,0.37,0.45,0.42,0.46,0.56,0.34,0.45,0.61,0.48
guineu.csv,0.57,0.79,0.43,0.79,0.41,0.41,0.55,0.84,0.75,0.58,0.52,0.53,0.44,0.97,0.62,0.66
ipfilter.csv,0.52,0.42,0.58,0.45,0.39,0.31,0.84,0.58,0.47,0.42,0.53,0.68,0.44,0.44,0.52,0.64
jruby.csv,0.65,0.39,0.92,0.44,0.38,0.44,0.86,0.82,0.45,0.47,0.52,0.95,0.37,0.5,0.56,0.64
l2j.csv,0.38,0.42,0.36,0.71,0.8,0.5,0.47,0.41,0.71,0.71,0.75,0.46,0.71,0.47,0.58,0.57
libmesh.csv,0.77,0.73,0.97,0.0,0.5,0.86,0.74,0.84,0.79,0.0,0.0,0.9,0.0,0.98,0.67,0.97
mvdsv.csv,0.0,0.0,0.82,0.0,0.88,0.0,0.8,0.8,0.92,0.0,0.75,0.8,0.67,0.0,0.86,0.67
stajistics.csv,0.31,0.32,0.43,0.33,0.38,0.42,0.62,0.5,0.45,0.33,0.52,0.54,0.37,0.44,0.39,0.38
twostep.csv,0.3,0.32,0.36,0.36,0.34,0.32,0.42,0.5,0.39,0.43,0.55,0.53,0.52,0.46,0.44,0.47
x4x.csv,0.4,0.41,0.4,0.71,0.32,0.35,0.4,0.44,0.45,0.45,0.34,0.46,0.38,0.4,0.49,0.6
