,guineu.csv,x4x.csv,amanda.csv,arsenal-1.csv,mvdsv.csv,fm-classic.csv,bnetd.csv,libmesh.csv,cascading.csv,twostep.csv,gnome-jabber.csv,free-evolution.csv,ipfilter.csv,l2j.csv,jruby.csv,stajistics.csv
amanda.csv,0.6,0.69,0.33,0.97,0.69,0.52,0.75,0.79,0.67,0.73,0.98,0.71,0.96,0.68,0.78,0.79
arsenal-1.csv,0.89,0.87,0.93,0.49,1.0,1.04,0.95,0.96,1.0,0.89,1.0,0.97,0.85,0.79,0.85,1.0
bnetd.csv,1.0,0.92,0.78,0.47,0.76,1.0,0.35,0.99,0.91,1.0,0.75,0.65,0.42,0.99,0.85,0.93
cascading.csv,0.6,0.53,1.0,0.9,0.57,0.82,0.57,0.79,0.47,0.7,0.95,0.65,0.68,0.75,0.82,0.65
fm-classic.csv,0.89,0.99,0.87,0.82,1.0,0.07,0.88,0.73,0.84,0.89,0.97,0.94,0.61,0.95,0.9,0.64
free-evolution.csv,0.8,0.53,0.52,0.7,0.98,1.01,0.59,0.89,0.62,0.49,1.0,0.51,1.0,0.7,0.69,0.55
gnome-jabber.csv,0.7,0.67,0.6,0.71,0.86,0.96,0.64,0.91,0.66,0.84,0.45,0.66,0.62,0.89,0.75,0.92
guineu.csv,0.5,0.67,0.95,0.82,0.96,1.19,0.9,0.83,0.74,0.65,1.0,0.84,0.93,0.87,0.8,0.54
ipfilter.csv,0.79,0.71,0.77,0.76,1.01,0.96,0.9,0.78,0.77,1.0,1.0,0.75,0.12,0.89,0.97,0.9
jruby.csv,0.76,0.45,0.85,0.93,1.0,0.84,0.9,0.85,0.83,0.95,1.0,0.74,1.0,0.66,0.61,0.87
l2j.csv,0.67,0.95,0.47,0.82,0.35,0.51,0.52,0.94,0.8,0.62,0.96,0.59,0.81,0.39,0.8,0.76
libmesh.csv,0.92,0.8,0.81,1.0,1.0,0.67,0.88,0.52,0.79,1.0,1.0,0.8,1.0,0.97,0.98,0.91
mvdsv.csv,1.0,1.0,0.71,1.0,0.03,1.0,0.9,0.97,0.91,0.96,0.96,1.0,0.93,0.99,0.95,1.0
stajistics.csv,0.77,0.81,0.86,0.62,1.0,0.88,0.74,0.81,0.6,0.4,1.0,0.87,1.0,0.61,0.76,0.46
twostep.csv,0.92,0.77,0.49,0.97,0.79,0.69,0.89,0.71,0.55,0.29,0.82,0.62,0.67,0.62,1.0,0.7
x4x.csv,0.81,0.56,1.0,0.73,0.65,0.85,0.44,0.89,0.93,1.0,0.62,0.92,0.97,0.88,0.85,0.65
