,rezilla.csv,webdriver.csv,minig.csv,ossbuild.csv,jparsec.csv
jparsec.csv,0.57,0.42,0.6,0.42,0.51
minig.csv,0.36,0.49,0.46,0.46,0.0
ossbuild.csv,0.82,0.53,0.55,0.99,0.85
rezilla.csv,0.57,0.78,0.74,0.46,0.67
webdriver.csv,0.83,0.49,0.47,0.8,0.56
