,hatari.csv,nullc.csv,superwaba.csv,lmms.csv,etherboot.csv,vienna-add-in.csv,voms.csv,tycho.csv,fityk.csv,mecat.csv,wsmt.csv,oscarmcmaster.csv
etherboot.csv,0.62,0.79,0.0,0.0,0.46,0.65,0.23,0.71,0.63,0.11,0.79,0.0
fityk.csv,0.53,0.53,0.52,0.65,0.38,0.66,0.29,0.65,0.73,0.13,0.54,0.3
hatari.csv,0.68,0.55,0.51,0.71,0.43,0.61,0.25,0.06,0.59,0.1,0.56,0.28
lmms.csv,0.61,0.74,0.4,0.71,0.31,0.55,0.26,0.6,0.63,0.12,0.32,0.38
mecat.csv,0.32,0.15,0.41,0.2,0.28,0.07,0.0,0.0,0.2,0.46,0.0,0.14
nullc.csv,0.57,0.82,0.51,0.71,0.4,0.8,0.19,0.75,0.69,0.12,0.55,0.39
oscarmcmaster.csv,0.56,0.51,0.67,0.71,0.36,0.5,0.32,0.69,0.59,0.15,0.42,0.41
superwaba.csv,0.59,0.56,0.64,0.43,0.34,0.5,0.31,0.31,0.61,0.11,0.45,0.33
tycho.csv,0.57,0.59,0.57,0.59,0.38,0.43,0.29,0.76,0.46,0.11,0.1,0.4
vienna-add-in.csv,0.6,0.75,0.42,0.62,0.41,0.76,0.23,0.66,0.64,0.04,0.0,0.31
voms.csv,0.59,0.51,0.52,0.6,0.31,0.55,0.57,0.68,0.67,0.12,0.21,0.39
wsmt.csv,0.11,0.23,0.47,0.15,0.21,0.56,0.0,0.41,0.0,0.0,0.81,0.28
