,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.71,0.01,0.09,0.04,0.0,0.13,0.0,0.0,0.15,0.03
fityk.csv,0.38,0.86,0.67,0.33,0.47,0.39,0.72,0.36,0.28,0.53
freenet.csv,0.6,0.44,0.47,0.67,0.87,0.78,0.63,0.91,0.7,0.69
geogebra.csv,0.55,0.05,0.57,0.21,0.5,0.27,0.12,0.32,0.25,0.25
hibernate.csv,0.29,0.67,0.2,0.58,0.23,0.23,0.32,0.82,0.27,0.37
itext.csv,0.36,0.99,0.87,0.42,0.2,0.99,0.95,0.64,0.94,0.75
k3b.csv,0.27,0.93,0.67,0.29,0.53,0.72,0.98,0.45,0.74,0.92
lamp.csv,0.24,0.12,0.46,0.75,0.43,0.54,0.26,0.59,0.33,0.67
megameknet.csv,0.17,0.8,0.47,0.38,0.63,0.43,0.25,0.59,0.44,0.71
thout.csv,1.0,0.22,0.9,0.88,1.0,0.91,0.91,0.95,0.92,0.94
