,umber.csv,openwbem.csv,wpdev.csv,orc.csv,vienna-add-in.csv,ivataopenportal.csv,plato.csv,onotoa.csv,yarp0.csv,rodin-b-sharp.csv,lcfizvtop.csv,elynx.csv,tycho.csv,xcmetadataservicestoolkit.csv,lite.csv,fityk.csv,codesmith.csv,ta3d.csv,jfreechart.csv
codesmith.csv,0.0,1.0,0.0,12.0,5.0,5.0,0.0,0.0,4.0,1.0,8.0,59.0,1.0,0.0,2.0,2.0,0.0,0.0,103.0
fityk.csv,1.0,2.0,0.0,37.0,2.0,0.0,0.0,0.0,5.0,5.0,25.0,59.0,0.0,0.0,3.0,0.0,0.0,3.0,103.0
ivataopenportal.csv,3.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,10.0,23.0,5.0,59.0,0.0,0.0,3.0,1.0,1.0,1.0,103.0
lcfizvtop.csv,3.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,59.0,0.0,1.0,7.0,0.0,1.0,0.0,42.0
lite.csv,4.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,5.0,58.0,59.0,62.0,0.0,0.0,2.0,0.0,0.0,103.0
onotoa.csv,13.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,6.0,1.0,5.0,59.0,0.0,1.0,7.0,0.0,1.0,2.0,60.0
openwbem.csv,22.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,5.0,0.0,1.0,5.0,0.0,0.0,1.0,51.0
orc.csv,2.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,58.0,59.0,0.0,1.0,8.0,0.0,0.0,0.0,103.0
plato.csv,10.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,17.0,0.0,1.0,6.0,0.0,0.0,3.0,103.0
rodin-b-sharp.csv,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,58.0,59.0,62.0,0.0,55.0,0.0,0.0,1.0,2.0
ta3d.csv,8.0,4.0,0.0,17.0,0.0,1.0,0.0,0.0,5.0,6.0,0.0,12.0,0.0,1.0,6.0,0.0,0.0,0.0,76.0
tycho.csv,4.0,5.0,0.0,12.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,5.0,0.0,0.0,15.0,0.0,0.0,3.0,74.0
umber.csv,0.0,5.0,0.0,59.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,37.0
vienna-add-in.csv,7.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,17.0,0.0,1.0,7.0,0.0,0.0,2.0,90.0
wpdev.csv,4.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,14.0,0.0,1.0,8.0,0.0,0.0,3.0,92.0
xcmetadataservicestoolkit.csv,0.0,7.0,0.0,74.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,14.0,0.0,0.0,55.0,0.0,1.0,1.0,103.0
yarp0.csv,2.0,18.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,19.0,59.0,0.0,1.0,7.0,0.0,0.0,0.0,103.0
