,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,xinity.csv,gss.csv,linux-ntfs.csv,growl-for-windows.csv,nativeclient.csv,libarchive.csv
acdk.csv,0.56,0.39,0.19,0.27,0.32,0.21,0.25,0.45,0.67,0.25,0.41,0.21,0.93,0.55,0.54,0.3,0.19,0.44,0.18,0.35
amygdala.csv,0.63,0.34,0.44,0.16,0.14,0.6,0.79,0.55,1.0,0.75,0.47,0.97,0.92,0.8,0.78,0.43,0.58,0.5,0.32,0.37
awemud.csv,1.0,0.53,0.25,0.18,0.53,0.43,0.67,0.45,0.83,0.0,0.76,0.42,0.75,0.64,0.54,0.37,0.62,0.36,0.26,0.47
bullet.csv,0.74,0.81,0.5,0.18,0.53,0.96,0.69,0.73,0.83,0.75,0.76,0.76,0.74,0.77,0.8,0.77,0.46,0.58,0.61,0.73
customwars.csv,0.23,0.22,0.25,0.29,0.32,0.31,0.23,0.55,0.0,0.17,0.88,0.13,0.71,0.27,0.37,0.27,0.5,0.53,0.31,0.35
dvd-create.csv,0.83,0.91,0.88,0.67,1.0,0.76,0.92,0.82,0.67,0.67,0.71,0.95,0.4,0.57,0.68,0.7,0.73,0.53,0.69,0.76
gbif-indexingtoolkit.csv,0.19,0.22,0.25,0.78,0.14,0.15,0.1,0.91,0.33,0.0,0.35,0.08,0.26,0.08,0.1,0.13,0.27,0.33,0.31,0.37
go.csv,0.67,0.97,0.38,0.4,0.5,0.54,0.92,0.64,0.83,0.0,0.82,0.66,0.75,0.76,0.78,0.6,0.81,0.5,0.52,0.78
growl-for-windows.csv,0.62,0.73,0.56,0.6,0.59,0.7,0.69,0.91,1.0,0.58,0.88,0.47,0.9,0.76,0.66,0.53,0.69,1.0,0.36,0.57
gss.csv,0.71,0.75,0.5,0.53,0.58,0.7,0.79,0.45,0.83,0.0,0.82,0.71,0.8,0.61,0.78,0.97,0.73,0.53,0.52,0.65
kwave.csv,0.49,0.85,1.0,0.76,0.58,0.37,0.52,0.36,1.0,0.17,0.59,0.66,0.7,0.44,0.39,0.37,0.31,0.39,0.72,0.84
libarchive.csv,0.56,0.61,0.38,0.22,0.27,0.45,0.6,0.45,0.83,0.5,0.71,0.5,0.73,0.43,0.61,0.4,0.5,0.61,0.35,0.9
linux-ntfs.csv,0.37,0.42,0.25,0.36,0.24,0.42,0.4,0.64,0.5,0.25,0.59,0.26,0.77,0.39,0.32,0.33,1.0,0.5,0.49,0.47
lsb.csv,0.9,0.91,0.69,0.76,0.76,0.93,0.98,0.82,1.0,0.0,1.0,0.79,0.94,0.88,0.9,0.97,0.77,0.97,0.74,0.82
mpgravity.csv,0.29,0.32,0.25,0.36,0.34,0.52,0.4,0.27,0.33,1.0,0.41,0.18,0.75,0.32,0.46,0.37,0.65,0.72,0.39,0.65
nativeclient.csv,0.68,0.61,0.5,0.36,0.41,0.48,0.83,0.55,1.0,0.75,0.47,0.68,0.85,0.6,0.66,0.3,0.77,0.42,0.97,0.71
qcad2.csv,0.29,0.86,0.38,0.62,0.73,0.31,0.96,0.36,0.33,0.25,0.47,0.16,0.7,0.28,0.37,0.63,0.58,0.42,0.63,0.9
qtwin.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
roller.csv,0.58,0.63,0.12,0.44,0.74,0.31,0.71,0.55,0.67,0.5,0.71,0.5,0.49,1.0,0.54,0.53,0.65,0.31,0.31,0.76
xinity.csv,0.31,0.61,0.38,0.22,0.53,0.48,0.44,0.45,0.5,0.0,0.29,0.39,0.31,0.36,1.0,0.5,0.35,0.19,0.5,0.53
