,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,avisynth2.csv,octet.csv,twostep.csv,geotools.csv,servicestack.csv,gephex.csv,coot.csv
adonthell.csv,88.5,98.5,97.5,292.0,98.5,98.5,95.5,196.0,602.5,474.5,257.5,387.0,96.5,1983.0,80.5,196.5,198.0,564.0,99.0,262.5
autofac.csv,99.0,98.5,97.5,177.0,98.5,94.5,98.5,196.0,92.5,1050.0,1692.0,394.0,96.5,889.5,96.5,97.5,197.5,88.5,99.0,97.5
avisynth2.csv,97.5,98.5,97.5,193.0,108.0,78.5,95.5,94.5,12.5,249.5,234.5,394.0,192.0,306.0,0.0,97.5,98.5,182.0,88.5,0.0
azureus.csv,99.0,98.5,97.5,292.0,98.5,98.5,98.5,196.0,97.5,759.5,91.5,196.0,98.5,1484.0,96.5,196.5,198.0,564.0,99.0,97.5
coot.csv,99.0,159.0,0.0,33.5,98.5,98.5,98.5,93.5,94.5,649.0,376.0,97.5,98.5,145.5,96.5,244.5,98.5,37.5,99.0,97.5
dsworkbench.csv,94.5,96.5,97.5,142.0,287.5,98.5,196.5,95.5,92.5,85.5,83.5,194.0,98.5,1631.0,96.5,97.5,99.0,101.0,99.0,187.0
forester-atv.csv,99.0,98.5,97.5,95.5,39.5,84.5,95.5,61.5,97.5,173.0,179.0,394.0,98.5,747.5,73.5,94.5,97.5,77.5,61.5,352.0
freelords.csv,99.0,98.5,97.5,193.0,98.5,98.5,95.5,196.0,97.5,660.5,376.0,394.0,98.5,1403.5,96.5,97.5,198.0,185.0,99.0,97.5
gabel.csv,74.5,98.5,95.5,85.5,98.5,98.5,98.5,196.0,94.5,366.0,282.5,97.5,98.5,873.5,96.5,81.5,97.5,74.5,174.0,186.0
geotools.csv,99.0,98.5,97.5,292.0,98.5,98.5,95.5,196.0,94.5,759.5,449.5,394.0,98.5,1078.5,96.5,97.5,197.5,564.0,196.0,97.5
gephex.csv,96.5,86.5,97.5,194.5,291.5,98.5,98.5,97.5,97.5,480.0,355.0,293.0,98.5,1952.0,96.5,196.5,198.0,564.0,99.0,97.5
google-collections.csv,98.5,98.5,97.5,292.0,98.5,98.5,98.5,196.0,97.5,759.5,376.0,394.0,98.5,1983.0,96.5,196.5,198.0,564.0,99.0,97.5
jpaul.csv,98.5,98.5,97.5,74.5,0.0,98.5,98.5,194.0,94.5,696.5,185.0,97.5,96.5,522.5,96.5,97.5,197.5,88.5,0.0,0.0
mycila.csv,99.0,85.5,192.0,473.0,98.5,98.5,775.5,97.5,97.5,563.5,266.5,291.5,98.5,1000.0,96.5,193.5,99.0,464.5,99.0,97.5
neodatis-odb.csv,99.0,98.5,192.0,194.5,96.5,98.5,98.5,193.0,97.5,759.5,353.0,386.0,94.5,1645.0,96.5,83.5,97.5,151.0,99.0,97.5
octet.csv,94.5,95.5,97.5,362.5,87.5,96.5,95.5,95.5,92.5,283.5,266.5,585.0,96.5,1404.5,96.5,196.5,198.0,105.0,96.5,97.5
pokenetonline.csv,98.5,98.5,97.5,292.0,576.0,95.5,95.5,196.0,97.5,660.5,188.0,394.0,98.5,1960.0,96.5,196.5,198.0,280.5,99.0,95.5
scenemonitor.csv,60.5,98.5,97.5,193.0,98.5,98.5,95.5,97.5,94.5,364.0,449.5,295.0,98.5,51.5,96.5,97.5,198.0,370.0,92.5,373.0
servicestack.csv,9.5,98.5,97.5,232.5,0.0,84.5,95.5,95.5,12.5,256.5,336.5,382.0,96.5,480.0,47.5,97.5,197.5,184.0,0.0,0.0
twostep.csv,35.5,98.5,97.5,292.0,98.5,98.5,98.5,196.0,97.5,566.0,188.0,295.0,98.5,1784.0,96.5,97.5,197.5,465.5,194.0,95.5
