,pclasses.csv,olap-navigator.csv,re2c.csv,tzod.csv,wxcrp.csv,atlc.csv,konversation.csv,co-ode-owl-plugins.csv,etherboot.csv,boost-sandbox.csv,plato.csv,freebios.csv,clamav.csv,miranda-icq.csv,jasperreports.csv,frogatto.csv,rebecca-aiml.csv,glelite.csv
atlc.csv,558.0,97.5,97.5,97.5,92.5,97.5,98.5,1393.0,760.0,98.5,99.0,189.0,95.5,491.5,13592.0,94.5,197.5,99.0
boost-sandbox.csv,951.5,196.0,94.5,97.5,92.5,97.5,464.5,1959.0,162.0,98.5,99.0,388.5,370.0,295.5,545.0,98.5,98.5,89.5
clamav.csv,277.5,365.0,97.5,97.5,288.5,97.5,98.5,1316.0,469.5,98.5,99.0,366.0,182.0,393.5,9085.5,98.5,177.5,99.0
co-ode-owl-plugins.csv,184.0,97.5,97.5,97.5,529.5,97.5,98.5,232.0,363.0,95.5,92.5,489.5,48.5,1089.0,14794.5,98.5,98.5,99.0
etherboot.csv,748.0,196.0,0.0,191.0,299.0,97.5,98.5,1199.0,176.0,96.5,98.5,265.5,95.5,0.0,0.0,98.5,0.0,98.5
freebios.csv,554.0,280.5,97.5,779.5,387.5,96.5,1172.0,1269.0,567.0,96.5,99.0,290.5,95.5,392.5,2520.0,97.5,197.5,99.0
frogatto.csv,559.0,196.0,97.5,97.5,387.5,97.5,98.5,2551.5,849.5,98.5,99.0,287.5,95.5,491.0,15095.5,98.5,197.5,99.0
glelite.csv,552.0,171.0,97.5,97.5,387.5,97.5,98.5,2331.0,849.5,98.5,98.5,487.5,95.5,590.0,15019.0,98.5,197.5,99.0
jasperreports.csv,651.5,466.5,94.5,97.5,192.0,97.5,98.5,2863.5,751.0,98.5,99.0,192.0,95.5,491.0,581.5,98.5,197.5,97.5
konversation.csv,271.5,182.0,97.5,97.5,94.5,97.5,98.5,1387.5,396.5,98.5,99.0,81.5,245.5,685.5,821.5,94.5,98.5,95.5
miranda-icq.csv,564.0,196.0,97.5,97.5,192.0,97.5,98.5,1801.0,279.5,98.5,92.5,386.5,95.5,1545.5,5591.5,94.5,98.5,98.5
olap-navigator.csv,178.0,97.5,94.5,97.5,90.5,97.5,98.5,2961.0,270.5,98.5,99.0,192.0,95.5,738.5,1273.5,94.5,98.5,95.5
pclasses.csv,186.0,97.5,94.5,97.5,285.5,0.0,98.5,753.0,185.0,88.5,99.0,169.0,184.0,35.5,9583.0,114.0,98.5,85.5
plato.csv,467.5,196.0,97.5,97.5,387.5,97.5,98.5,2414.0,849.5,98.5,99.0,586.0,95.5,590.0,15095.5,98.5,197.5,99.0
re2c.csv,426.0,196.0,97.5,97.5,188.0,97.5,451.5,593.0,173.0,95.5,90.5,489.5,182.0,1087.5,4595.5,98.5,494.0,99.0
rebecca-aiml.csv,299.0,196.0,97.5,97.5,387.5,90.5,98.5,1685.0,364.0,95.5,99.0,293.0,171.5,393.5,6118.0,94.5,278.0,99.0
tzod.csv,920.5,712.0,97.5,97.5,192.0,97.5,98.5,1748.5,562.0,98.5,92.5,194.0,95.5,295.0,7406.0,98.5,264.0,98.5
wxcrp.csv,376.0,196.0,97.5,97.5,188.0,88.5,98.5,2354.5,849.5,98.5,99.0,486.0,95.5,392.0,14873.0,192.0,197.5,99.0
