,arianne.csv,knowledge.csv,bl-toolkit.csv,voms.csv,amateur-scrolls.csv,micomt.csv,kml.csv,ultimairis.csv,sigil.csv,auber.csv,lufa-lib.csv,lportal.csv,les-indemodables.csv,keyczar.csv,growl-for-windows.csv
amateur-scrolls.csv,0.89,0.82,0.75,0.88,0.65,0.83,0.5,0.86,0.65,0.96,0.61,0.61,0.91,0.75,0.86
arianne.csv,0.53,0.94,0.46,0.66,0.66,0.9,0.55,0.87,0.96,0.65,0.6,0.67,0.98,0.88,0.79
auber.csv,0.72,0.41,0.56,0.57,0.49,0.74,0.48,0.58,0.49,0.5,0.48,0.45,0.79,0.54,0.61
bl-toolkit.csv,0.59,0.47,0.47,0.56,0.43,0.47,0.44,0.94,0.55,0.41,0.55,0.43,0.5,0.59,0.57
growl-for-windows.csv,0.54,0.47,0.55,0.57,0.67,0.47,0.46,0.74,0.51,0.66,0.51,0.45,0.69,0.59,0.56
keyczar.csv,0.72,0.55,0.52,0.57,0.38,0.39,0.32,0.48,0.62,0.49,0.53,0.6,0.74,0.46,0.64
kml.csv,0.77,0.36,0.57,0.55,0.64,0.48,0.44,0.54,0.44,0.46,0.51,0.5,0.47,0.5,0.56
knowledge.csv,0.45,0.4,0.41,0.45,0.37,0.41,0.4,0.43,0.44,0.39,0.5,0.42,0.48,0.45,0.41
les-indemodables.csv,0.97,0.54,0.91,0.88,0.83,0.67,0.67,0.71,0.53,0.58,0.77,0.72,0.61,0.82,0.88
lportal.csv,0.45,0.96,0.69,0.75,0.7,0.89,0.76,0.59,0.75,0.95,0.97,0.99,0.86,0.67,0.5
lufa-lib.csv,0.67,0.68,0.58,0.69,0.52,0.83,0.53,0.62,0.62,0.62,0.75,0.5,0.61,0.82,0.81
micomt.csv,0.62,0.6,0.92,0.96,0.75,0.93,0.8,0.93,0.58,0.6,0.93,0.59,0.57,0.75,0.84
sigil.csv,0.66,0.41,0.56,0.61,0.35,0.58,0.41,0.47,0.45,0.4,0.42,0.46,0.46,0.46,0.5
ultimairis.csv,0.5,0.39,0.49,0.66,0.47,0.72,0.88,0.75,0.51,0.49,0.68,0.48,0.49,0.53,0.65
voms.csv,0.67,0.0,0.67,0.88,0.88,0.0,0.86,0.0,0.0,0.75,0.75,0.98,0.96,0.0,0.0
