,arianne.csv,knowledge.csv,bl-toolkit.csv,voms.csv,amateur-scrolls.csv,micomt.csv,kml.csv,ultimairis.csv,sigil.csv,auber.csv,lufa-lib.csv,lportal.csv,les-indemodables.csv,keyczar.csv,growl-for-windows.csv
amateur-scrolls.csv,0.74,0.77,0.73,0.78,0.0,0.85,0.51,0.85,0.59,0.84,0.57,0.41,0.93,0.92,0.87
arianne.csv,0.04,0.78,0.56,0.57,0.69,0.67,0.68,0.77,0.74,0.72,0.8,0.83,0.82,0.7,1.0
auber.csv,0.72,0.57,0.66,0.56,0.59,0.28,0.48,0.6,0.52,0.06,0.71,0.65,0.71,0.48,0.57
bl-toolkit.csv,0.65,0.48,0.02,0.64,0.65,0.73,0.81,0.79,0.62,0.66,0.88,0.68,0.9,0.59,0.8
growl-for-windows.csv,0.67,0.51,0.73,0.73,0.73,0.82,0.84,0.73,0.67,0.69,0.86,0.54,0.61,0.66,0.0
keyczar.csv,0.79,0.52,0.78,0.8,0.68,0.95,0.72,0.87,0.72,0.69,0.69,0.57,0.83,0.07,0.8
kml.csv,0.79,0.88,0.72,0.61,0.69,0.69,0.0,0.56,0.43,0.59,0.73,0.45,0.45,0.69,0.75
knowledge.csv,0.61,0.0,0.78,0.57,0.7,0.98,0.65,0.75,0.95,0.97,0.9,0.56,1.0,1.01,0.89
les-indemodables.csv,0.82,0.58,0.8,0.78,0.77,0.83,0.56,0.68,0.54,0.7,0.79,0.52,0.11,0.82,0.88
lportal.csv,0.85,1.06,1.0,1.0,1.0,1.01,1.01,0.82,0.94,0.96,0.78,0.09,0.86,0.96,0.92
lufa-lib.csv,0.73,0.74,0.66,0.66,0.62,0.46,0.49,0.65,0.61,0.68,0.02,0.6,0.71,0.79,0.45
micomt.csv,0.75,0.64,0.9,0.97,0.65,0.02,0.89,0.88,0.59,0.55,0.9,0.71,0.44,0.94,0.52
sigil.csv,0.65,0.49,0.72,0.59,0.65,0.45,0.28,0.64,0.05,0.47,0.69,0.63,0.66,0.57,0.75
ultimairis.csv,0.7,0.63,0.59,0.67,0.67,0.59,0.67,0.05,0.53,0.76,0.55,0.68,0.85,0.74,0.57
voms.csv,0.97,1.0,0.96,0.11,0.96,0.92,0.98,1.0,0.98,0.97,0.97,0.97,0.97,0.98,1.0
