,arianne.csv,knowledge.csv,bl-toolkit.csv,voms.csv,amateur-scrolls.csv,micomt.csv,kml.csv,ultimairis.csv,sigil.csv,auber.csv,lufa-lib.csv,lportal.csv,les-indemodables.csv,keyczar.csv,growl-for-windows.csv
amateur-scrolls.csv,0.39,0.41,0.42,0.24,1.0,0.21,0.61,0.26,0.56,0.27,0.54,0.17,0.12,0.15,0.23
arianne.csv,0.98,0.38,0.76,0.26,0.38,0.29,0.54,0.3,0.41,0.49,0.55,0.05,0.3,0.46,0.2
auber.csv,0.41,0.73,0.6,0.27,0.47,0.62,0.64,0.46,0.64,0.96,0.41,0.09,0.39,0.68,0.69
bl-toolkit.csv,0.5,0.71,0.99,0.24,0.52,0.35,0.5,0.31,0.61,0.7,0.5,0.09,0.53,0.61,0.36
growl-for-windows.csv,0.51,0.69,0.44,0.19,0.34,0.25,0.48,0.34,0.6,0.45,0.57,0.12,0.47,0.6,1.0
keyczar.csv,0.32,0.67,0.65,0.17,0.54,0.24,0.69,0.3,0.5,0.64,0.59,0.13,0.26,0.98,0.36
kml.csv,0.33,0.75,0.45,0.28,0.38,0.28,1.0,0.48,0.7,0.59,0.49,0.15,0.62,0.47,0.42
knowledge.csv,0.53,1.0,0.82,0.27,0.54,0.31,0.64,0.48,0.75,0.69,0.54,0.11,0.53,0.81,0.48
les-indemodables.csv,0.29,0.59,0.33,0.24,0.31,0.18,0.57,0.38,0.61,0.45,0.31,0.15,0.94,0.31,0.23
lportal.csv,0.59,0.45,0.42,0.0,0.13,0.0,0.23,0.35,0.11,0.11,0.34,0.95,0.28,0.08,0.7
lufa-lib.csv,0.41,0.44,0.67,0.25,0.43,0.44,0.66,0.41,0.56,0.5,0.99,0.1,0.49,0.34,0.7
micomt.csv,0.5,0.55,0.22,0.06,0.4,0.96,0.2,0.2,0.56,0.59,0.17,0.08,0.62,0.12,0.66
sigil.csv,0.49,0.81,0.49,0.3,0.55,0.47,0.8,0.46,0.97,0.72,0.48,0.09,0.47,0.63,0.44
ultimairis.csv,0.51,0.88,0.72,0.21,0.41,0.33,0.46,0.95,0.67,0.62,0.56,0.09,0.53,0.64,0.69
voms.csv,0.06,0.0,0.08,0.94,0.07,0.14,0.05,0.0,0.04,0.06,0.06,0.04,0.12,0.04,0.0
