,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,jcl.csv,gmerlin.csv,wxstudio.csv
chipster.csv,0.0,0.65,0.79,1.0,0.72,0.52,0.08,1.0,0.0,0.36,0.22,0.0,0.0
fontforge.csv,0.44,0.33,0.43,0.36,0.69,0.48,0.02,0.69,0.13,0.49,0.12,0.34,0.45
gmerlin.csv,0.0,0.3,0.45,0.36,0.0,0.42,0.02,0.0,0.15,0.0,0.0,0.47,0.48
hatari.csv,0.46,0.38,0.67,0.36,0.7,0.47,0.02,0.42,0.14,0.51,0.13,0.39,0.47
jcl.csv,0.5,0.44,0.5,0.37,0.78,0.53,0.03,0.47,0.11,0.44,0.18,0.43,0.53
ltp.csv,0.39,0.29,0.45,0.42,0.8,0.42,0.0,0.47,0.11,0.49,0.13,0.39,0.33
net-snmp.csv,0.68,0.39,0.52,0.32,0.72,0.33,0.05,0.42,0.15,0.47,0.05,0.36,0.48
opde.csv,0.45,0.38,0.45,0.5,0.69,0.42,0.04,0.49,0.14,0.0,0.09,0.37,0.44
powerfolder-.csv,0.52,0.55,0.67,0.34,0.65,0.39,0.05,0.5,0.17,0.44,0.14,0.38,0.42
qlc.csv,0.0,0.35,0.0,0.32,0.56,0.57,0.03,0.0,0.23,0.55,0.2,0.0,0.52
tcl.csv,0.38,0.29,0.43,0.34,0.72,0.39,0.0,0.0,0.14,0.67,0.0,0.28,0.49
wxstudio.csv,0.52,0.26,0.5,0.33,0.74,0.52,0.03,0.41,0.06,0.46,0.25,0.38,0.69
