,jicarilla.csv,bacula.csv,pentahoanalysistool.csv,foursquared.csv,bdbbasic.csv,open-data-kit.csv,yafdotnet.csv,impala.csv,turbotrader-bos.csv,ultimairis.csv,tradelink.csv,wikipediardware.csv,ng4j.csv
bacula.csv,0.42,0.98,0.81,0.92,0.68,0.64,0.56,0.52,0.8,0.55,0.53,0.34,0.7
bdbbasic.csv,0.03,0.8,0.67,0.71,0.84,0.53,0.71,0.56,0.81,0.45,0.68,0.66,0.5
foursquared.csv,0.0,0.05,0.44,0.96,0.21,0.04,0.08,0.08,0.32,0.0,0.11,0.05,0.0
impala.csv,0.82,0.62,0.96,0.62,0.42,0.8,0.48,0.84,0.82,0.19,0.32,0.45,0.95
jicarilla.csv,1.0,0.01,0.04,0.0,0.16,0.17,0.03,0.04,0.02,0.15,0.0,0.08,0.05
ng4j.csv,0.09,0.48,0.56,0.71,0.58,0.53,0.46,0.28,0.78,0.26,0.79,0.5,0.95
open-data-kit.csv,0.12,0.04,0.85,0.88,0.05,1.0,0.59,0.4,0.75,0.64,0.53,0.29,0.65
pentahoanalysistool.csv,0.36,0.59,0.96,0.38,0.84,0.25,0.31,0.16,0.56,0.15,0.37,0.76,0.25
tradelink.csv,0.0,0.41,0.19,0.29,0.42,0.13,0.08,0.16,0.28,0.06,0.89,0.11,0.15
turbotrader-bos.csv,0.03,0.59,0.37,0.42,0.63,0.28,0.2,0.36,0.96,0.3,0.32,0.34,0.45
ultimairis.csv,0.48,0.32,0.74,0.38,0.68,0.47,0.62,0.8,0.69,0.94,0.63,0.79,0.45
wikipediardware.csv,0.94,0.96,0.93,0.96,1.0,0.87,0.96,0.8,0.99,0.87,0.79,0.97,1.0
yafdotnet.csv,0.0,0.98,0.33,0.29,0.79,0.28,0.96,0.36,0.58,0.51,0.79,0.42,0.6
