,jicarilla.csv,bacula.csv,pentahoanalysistool.csv,foursquared.csv,bdbbasic.csv,open-data-kit.csv,yafdotnet.csv,impala.csv,turbotrader-bos.csv,ultimairis.csv,tradelink.csv,wikipediardware.csv,ng4j.csv
bacula.csv,0.83,0.03,0.61,0.72,0.48,0.58,0.72,0.81,0.58,0.64,0.75,0.72,0.53
bdbbasic.csv,0.99,0.88,0.5,0.42,0.16,0.56,0.47,0.69,0.49,0.67,0.47,0.67,0.56
foursquared.csv,1.0,0.95,0.58,0.04,0.79,0.96,0.92,0.92,0.69,1.0,0.89,0.95,1.0
impala.csv,0.42,0.81,0.98,0.83,0.94,0.97,0.79,0.16,0.9,0.82,0.82,0.9,0.98
jicarilla.csv,0.03,0.99,0.97,1.0,0.97,0.85,0.98,0.96,0.99,0.86,1.0,0.92,0.97
ng4j.csv,0.93,0.64,0.58,0.41,0.45,0.61,0.63,0.8,0.52,0.76,0.43,0.52,0.05
open-data-kit.csv,0.93,0.96,0.63,0.77,0.95,0.0,0.67,0.81,0.51,0.67,0.55,0.72,0.54
pentahoanalysistool.csv,0.66,0.61,0.04,0.63,0.67,0.8,0.7,0.93,0.48,0.86,0.68,0.55,0.76
tradelink.csv,1.01,0.61,0.82,0.71,0.58,0.88,0.92,0.86,0.72,0.94,0.11,0.9,0.85
turbotrader-bos.csv,0.99,0.66,0.72,0.61,0.52,0.75,0.8,0.66,0.04,0.71,0.74,0.87,0.59
ultimairis.csv,0.71,0.81,0.77,0.8,0.84,0.71,0.7,0.71,0.57,0.06,0.67,0.95,0.75
wikipediardware.csv,0.81,0.96,0.9,0.87,0.84,0.87,0.89,0.87,0.94,0.96,0.87,0.03,0.92
yafdotnet.csv,1.04,0.94,0.75,0.75,1.0,0.77,0.05,0.71,0.5,0.54,0.67,0.81,0.61
